;Casapound;PdF;NcI-UDC;Lega;FI;FdI;+E;PD;Insieme;CP;LeU;PVU;PaP;M5S;FN-FT;PRI-ALA;10VM;PCLtSCR;GN;IR-DC;INC;Ren-MIR;LdP;PpA;SiAmo;PC;AD;SVP-PATT;PD-UV-UVP-EPAV;PT;FI-FdI-MNVA;RC;@abs;@blank
Laino Castello;0;1;3;15;82;12;0;98;0;4;3;0;5;130;4;;;0;;;;;0;;;0;;;;;;;272;13
Lattarico;18;3;10;123;445;49;8;196;34;3;11;1;6;1282;14;;;4;;;;;3;;;6;;;;;;;911;50
Longobardi;5;4;15;67;235;64;7;99;17;4;7;1;4;631;16;;;1;;;;;0;;;1;;;;;;;559;20
Lungro;2;2;13;63;217;32;14;241;16;10;66;0;10;600;9;;;3;;;;;0;;;7;;;;;;;765;25
Maiera';1;2;12;57;175;10;4;78;10;1;9;0;5;226;5;;;2;;;;;1;;;2;;;;;;;391;17
Malvito;5;0;3;52;200;93;4;73;134;1;12;1;5;294;7;;;3;;;;;0;;;2;;;;;;;534;32
Mongrassano;17;1;19;41;207;110;7;84;0;6;7;0;3;392;11;;;1;;;;;0;;;5;;;;;;;359;28
Morano Calabro;41;11;32;144;350;108;13;280;29;1;38;5;21;1014;11;;;4;;;;;0;;;7;;;;;;;1520;43
Mormanno;5;4;33;61;216;120;5;459;7;7;93;1;10;652;15;;;0;;;;;2;;;7;;;;;;;721;45
Mottafollone;0;2;3;33;100;19;1;122;6;0;43;8;10;235;4;;;1;;;;;0;;;2;;;;;;;385;26
Orsomarso;6;1;7;22;290;15;7;73;8;1;16;0;13;217;3;;;2;;;;;0;;;1;;;;;;;358;25
Paola;38;97;162;389;1373;544;107;831;128;36;182;2;93;3584;41;;;0;;;;;6;;;40;;;;;;;4508;152
Papasidero;0;3;2;16;59;12;4;76;0;2;3;1;4;155;2;;;2;;;;;0;;;1;;;;;;;266;11
Praia a Mare;34;19;24;256;631;283;34;413;14;13;70;3;28;1599;36;;;12;;;;;9;;;14;;;;;;;1828;83
Roggiano Gravina;24;14;18;175;810;141;36;272;64;5;62;9;70;1747;20;;;4;;;;;2;;;10;;;;;;;2031;65
Rota Greca;1;2;2;24;172;6;0;73;2;2;15;7;8;276;5;;;1;;;;;0;;;3;;;;;;;300;9
San Basile;3;4;4;30;50;8;4;49;74;2;22;0;5;220;2;;;0;;;;;0;;;1;;;;;;;333;18
San Benedetto Ullano;4;1;20;41;123;15;1;86;2;3;11;4;8;423;6;;;1;;;;;1;;;18;;;;;;;370;27
San Donato di Ninea;2;6;3;47;179;26;2;77;9;3;8;0;4;297;4;;;3;;;;;0;;;3;;;;;;;418;11
Sangineto;4;1;19;33;142;27;16;81;1;2;7;2;7;242;8;;;2;;;;;1;;;3;;;;;;;440;14
San Lucido;16;18;29;100;697;86;21;362;24;23;70;1;33;1410;26;;;6;;;;;3;;;58;;;;;;;2124;40
San Marco Argentano;22;18;84;174;848;113;26;395;37;17;69;6;26;1908;25;;;0;;;;;2;;;8;;;;;;;1882;100
San Martino di Finita;4;0;16;14;79;12;3;58;2;2;3;3;0;347;12;;;0;;;;;0;;;6;;;;;;;303;4
San Nicola Arcella;2;1;6;45;216;96;6;92;3;4;16;1;5;357;7;;;0;;;;;0;;;2;;;;;;;594;18
San Pietro in Amantea;0;1;4;9;138;3;3;36;2;0;0;0;2;87;4;;;0;;;;;1;;;0;;;;;;;123;12
San Sosti;1;1;14;89;188;73;3;138;12;9;14;9;22;399;9;;;2;;;;;1;;;3;;;;;;;656;29
Santa Caterina Albanese;1;1;6;41;187;34;4;42;10;0;10;0;5;235;5;;;3;;;;;2;;;2;;;;;;;373;20
Santa Domenica Talao;6;1;5;39;149;34;4;43;1;5;3;0;22;292;4;;;2;;;;;1;;;0;;;;;;;348;22
Sant'Agata di Esaro;1;3;30;41;236;63;8;203;6;0;6;3;6;301;5;;;1;;;;;0;;;4;;;;;;;593;23
Santa Maria del Cedro;10;9;16;137;537;188;15;156;10;8;34;1;34;1515;23;;;7;;;;;6;;;6;;;;;;;1267;49
Saracena;3;11;18;120;337;49;5;273;16;7;43;1;27;989;11;;;2;;;;;2;;;23;;;;;;;1134;48
Scalea;10;14;26;376;1378;385;52;459;18;19;88;2;62;2351;37;;;3;;;;;4;;;17;;;;;;;2937;88
Serra d'Aiello;1;0;14;18;41;4;1;48;0;1;3;0;0;123;0;;;2;;;;;0;;;1;;;;;;;134;4
Tarsia;14;2;6;50;216;36;3;144;2;1;12;2;11;430;8;;;1;;;;;0;;;4;;;;;;;572;28
Torano Castello;92;12;17;110;456;52;11;218;91;15;29;2;32;1166;18;;;0;;;;;1;;;17;;;;;;;1202;31
Tortora;30;14;34;337;647;142;18;376;16;10;42;2;19;1271;21;;;5;;;;;0;;;6;;;;;;;1737;71
Verbicaro;5;8;22;64;198;33;5;118;7;4;7;2;228;819;14;;;5;;;;;2;;;9;;;;;;;861;36
Acri;44;26;145;271;738;197;46;1321;45;157;856;23;55;6077;51;;;15;;;;;10;;;69;;;;;;;5780;196
Albidona;2;3;12;23;108;29;5;149;17;3;9;2;5;210;6;;;4;;;;;0;;;2;;;;;;;496;25
Alessandria del Carretto;1;0;3;5;6;2;1;37;0;4;1;0;12;106;1;;;0;;;;;0;;;6;;;;;;;207;9
Amendolara;3;10;12;102;356;65;16;195;2;34;53;2;3;468;14;;;1;;;;;0;;;3;;;;;;;935;49
Bocchigliero;3;1;17;31;89;14;2;146;15;4;6;2;9;260;4;;;2;;;;;0;;;2;;;;;;;468;10
Calopezzati;3;3;5;20;73;41;3;105;2;5;10;0;33;292;0;;;0;;;;;23;;;1;;;;;;;426;6
Caloveto;2;2;2;15;55;6;1;104;30;3;9;2;1;323;2;;;2;;;;;1;;;4;;;;;;;383;15
Campana;8;1;5;33;60;25;11;179;44;6;12;0;5;369;6;;;0;;;;;3;;;2;;;;;;;644;37
Canna;4;1;5;29;46;8;0;54;5;0;5;0;9;135;4;;;1;;;;;1;;;1;;;;;;;279;15
Cariati;8;17;33;130;612;83;34;572;34;171;51;10;47;1421;19;;;0;;;;;33;;;10;;;;;;;2647;41
Cassano All'Ionio;18;43;63;540;1601;205;51;794;25;73;154;35;27;2991;48;;;5;;;;;3;;;19;;;;;;;6165;119
Castroregio;0;0;5;2;18;2;0;48;1;0;3;0;2;34;0;;;0;;;;;1;;;1;;;;;;;113;9
Cerchiara di Calabria;8;3;13;65;153;35;4;182;54;8;10;0;5;435;7;;;1;;;;;0;;;2;;;;;;;833;35
Corigliano Calabro;61;39;129;1978;1455;847;143;1734;48;134;328;25;165;9572;85;;;17;;;;;12;;;80;;;;;;;12019;249
Cropalati;3;2;34;54;47;44;1;119;5;1;5;0;0;237;1;;;3;;;;;0;;;4;;;;;;;281;7
Crosia;12;4;24;181;765;219;26;570;31;72;34;10;22;2402;20;;;2;;;;;11;;;13;;;;;;;2554;69
Francavilla Marittima;1;5;15;89;273;83;5;197;3;5;30;12;3;564;10;;;1;;;;;2;;;3;;;;;;;819;35
Longobucco;3;3;7;63;147;31;12;409;10;24;24;1;13;772;9;;;3;;;;;2;;;17;;;;;;;952;47
Mandatoriccio;6;1;7;43;180;33;10;186;11;11;16;0;4;650;8;;;1;;;;;7;;;5;;;;;;;1017;14
Montegiordano;1;3;12;53;150;28;13;136;10;23;92;3;20;327;11;;;1;;;;;2;;;8;;;;;;;583;45
Nocara;0;0;0;8;45;1;0;11;0;0;4;0;9;64;2;;;0;;;;;0;;;0;;;;;;;164;13
Oriolo;2;4;31;54;159;23;6;203;2;3;37;0;19;292;8;;;0;;;;;2;;;6;;;;;;;876;31
Paludi;0;0;8;20;101;58;4;78;9;15;12;3;2;196;5;;;0;;;;;0;;;2;;;;;;;334;8
Pietrapaola;4;0;1;8;67;20;2;79;11;12;5;3;1;260;2;;;0;;;;;11;;;11;;;;;;;373;12
Plataci;3;0;4;25;73;3;4;76;1;1;5;1;12;194;7;;;4;;;;;0;;;2;;;;;;;182;17
Rocca Imperiale;7;6;76;119;407;59;4;403;7;11;34;0;6;499;14;;;2;;;;;1;;;6;;;;;;;812;35
Roseto Capo Spulico;5;0;9;73;219;22;5;158;5;4;21;2;6;367;7;;;0;;;;;0;;;18;;;;;;;602;25
Rossano;95;38;461;771;1794;1988;127;1603;184;367;223;31;79;7470;73;;;11;;;;;25;;;61;;;;;;;10195;299
San Cosmo Albanese;0;0;1;6;26;7;1;35;2;1;10;0;2;170;5;;;1;;;;;0;;;1;;;;;;;177;6
San Demetrio Corone;8;3;13;58;188;86;24;212;37;16;132;1;9;880;11;;;4;;;;;0;;;28;;;;;;;984;48
San Giorgio Albanese;3;1;5;24;85;45;2;134;14;6;17;5;4;374;4;;;0;;;;;1;;;11;;;;;;;400;15
San Giovanni in Fiore;24;8;176;325;778;134;48;2030;297;66;114;21;77;4873;50;;;5;;;;;9;;;74;;;;;;;4450;112
San Lorenzo Bellizzi;1;0;4;9;39;3;2;133;2;1;9;1;3;53;2;;;0;;;;;0;;;2;;;;;;;236;25
San Lorenzo del Vallo;5;4;5;126;277;36;6;119;6;0;11;10;6;922;8;;;4;;;;;0;;;7;;;;;;;1048;14
Santa Sofia d'Epiro;3;3;11;46;226;43;9;164;3;8;109;2;8;624;17;;;1;;;;;2;;;4;;;;;;;750;45
Scala Coeli;2;1;1;12;34;0;0;44;3;2;5;0;1;304;4;;;0;;;;;0;;;0;;;;;;;385;13
Spezzano Albanese;12;7;11;212;561;106;12;539;7;15;47;18;30;1822;9;;;1;;;;;3;;;18;;;;;;;1971;62
Terranova da Sibari;16;6;22;90;462;347;20;344;35;7;56;1;18;1023;24;;;7;;;;;1;;;13;;;;;;;1346;39
Terravecchia;1;0;4;13;31;2;4;69;0;9;7;0;2;105;2;;;0;;;;;0;;;2;;;;;;;393;2
Trebisacce;21;19;27;235;722;245;22;709;24;35;74;4;132;1787;22;;;2;;;;;8;;;17;;;;;;;2654;94
Vaccarizzo Albanese;4;0;9;26;57;9;6;81;0;3;28;2;1;255;4;;;4;;;;;3;;;5;;;;;;;306;18
Villapiana;7;4;35;148;521;114;17;299;11;11;58;22;29;1019;23;;;3;;;;;1;;;7;;;;;;;1649;47
Aiello Calabro;2;1;1;40;105;11;7;329;2;4;19;0;4;371;3;;;1;;;;;0;;;3;;;;;;;494;20
Altilia;2;1;1;14;68;4;5;112;0;0;0;0;3;217;3;;;1;;;;;0;;;0;;;;;;;158;1
Aprigliano;8;6;11;61;205;45;7;257;5;5;56;1;14;667;9;;;0;;;;;1;;;7;;;;;;;794;25
Belsito;3;3;3;26;82;18;2;51;26;3;7;0;4;256;5;;;1;;;;;0;;;3;;;;;;;231;11
Bianchi;4;5;9;43;145;14;3;85;7;2;9;0;10;308;2;;;11;;;;;0;;;6;;;;;;;379;15
Carolei;3;7;63;64;388;67;28;192;12;18;42;3;33;884;16;;;2;;;;;1;;;6;;;;;;;803;20
Carpanzano;1;0;0;9;18;2;0;30;0;0;4;1;0;44;1;;;0;;;;;0;;;0;;;;;;;85;7
Casali del Manco;24;15;135;248;505;92;66;898;19;31;185;16;92;3470;43;;;9;;;;;1;;;28;;;;;;;2056;58
Castiglione Cosentino;52;2;8;60;260;21;11;165;2;2;24;3;22;819;6;;;4;;;;;0;;;1;;;;;;;739;21
Castrolibero;19;34;40;241;758;252;71;735;13;45;174;13;93;2942;31;;;10;;;;;5;;;36;;;;;;;2023;78
Celico;1;2;15;101;153;29;8;279;5;3;38;0;12;733;4;;;0;;;;;2;;;10;;;;;;;566;19
Cellara;0;0;0;12;45;9;3;70;14;1;13;0;6;144;2;;;0;;;;;0;;;6;;;;;;;91;5
Cerisano;9;4;13;78;373;52;18;183;5;32;30;3;22;843;20;;;0;;;;;2;;;3;;;;;;;818;25
Colosimi;3;0;3;33;64;10;1;88;2;1;12;0;25;389;5;;;5;;;;;0;;;16;;;;;;;336;14
Cosenza;169;179;522;1394;5678;1491;693;3860;166;416;1091;53;754;15480;197;;;46;;;;;16;;;173;;;;;;;18343;484
Dipignano;13;9;26;90;395;59;27;257;6;20;59;7;32;1360;14;;;4;;;;;2;;;16;;;;;;;979;33
Domanico;2;5;7;23;68;12;3;114;0;5;15;1;11;223;5;;;0;;;;;0;;;4;;;;;;;243;8
Figline Vegliaturo;2;1;19;36;86;19;3;97;0;0;9;3;7;373;6;;;0;;;;;0;;;2;;;;;;;248;8
Grimaldi;3;3;5;27;210;33;6;92;3;3;25;1;19;445;2;;;8;;;;;0;;;3;;;;;;;433;30
Lago;4;7;20;68;281;48;30;215;11;1;28;0;18;559;10;;;4;;;;;0;;;5;;;;;;;841;28
Lappano;3;2;32;31;79;17;4;142;1;8;7;1;2;247;5;;;0;;;;;0;;;1;;;;;;;178;8
Luzzi;17;16;27;245;970;137;26;815;20;14;92;5;13;2325;27;;;4;;;;;3;;;23;;;;;;;2436;92
Malito;0;0;2;24;71;19;5;48;11;1;11;0;5;189;1;;;41;;;;;0;;;1;;;;;;;215;9
Mangone;6;6;4;44;154;33;8;119;8;5;9;2;22;605;4;;;1;;;;;0;;;1;;;;;;;399;18
Marano Marchesato;6;15;4;93;303;60;13;150;8;37;41;0;17;1045;9;;;1;;;;;0;;;7;;;;;;;788;31
Marano Principato;8;5;12;83;251;64;18;161;0;12;38;2;12;941;9;;;4;;;;;0;;;14;;;;;;;725;21
Marzi;1;0;3;32;55;5;4;67;1;2;10;0;9;313;1;;;1;;;;;1;;;5;;;;;;;220;6
Mendicino;16;31;58;214;818;246;75;506;15;44;94;5;77;2248;26;;;4;;;;;1;;;31;;;;;;;2201;158
Montalto Uffugo;44;76;95;456;1660;246;72;1035;27;98;211;34;145;5953;58;;;20;;;;;5;;;35;;;;;;;4573;131
Panettieri;0;1;0;16;52;11;1;33;0;1;4;1;4;68;2;;;3;;;;;0;;;1;;;;;;;81;5
Parenti;5;4;44;25;209;16;6;217;3;10;22;0;10;719;9;;;1;;;;;2;;;5;;;;;;;405;32
Paterno Calabro;0;1;5;19;203;15;3;118;0;2;11;0;13;382;8;;;3;;;;;2;;;2;;;;;;;336;9
Pedivigliano;1;4;4;52;85;8;2;91;0;2;9;1;5;162;4;;;1;;;;;1;;;3;;;;;;;217;15
Piane Crati;2;2;11;45;86;91;4;100;2;10;19;0;13;399;7;;;1;;;;;0;;;7;;;;;;;312;15
Pietrafitta;3;6;7;20;77;26;7;81;0;1;15;0;16;518;3;;;0;;;;;0;;;3;;;;;;;268;11
Rende;75;350;137;734;2845;705;346;2318;102;133;741;28;340;9333;119;;;41;;;;;15;;;52;;;;;;;9121;232
Rogliano;20;17;22;162;359;90;31;487;23;20;55;2;41;1845;11;;;7;;;;;3;;;22;;;;;;;1196;78
Rose;22;24;34;90;405;54;2;311;1;10;24;3;24;1333;18;;;6;;;;;2;;;25;;;;;;;1021;31
Rovito;4;3;62;52;180;71;7;354;4;12;25;3;45;1000;8;;;1;;;;;4;;;10;;;;;;;578;29
San Fili;4;16;12;56;217;43;20;226;7;5;32;6;15;770;8;;;1;;;;;2;;;10;;;;;;;603;19
San Pietro in Guarano;5;8;14;70;210;63;22;277;8;10;25;2;33;1281;14;;;0;;;;;1;;;8;;;;;;;852;20
Santo Stefano di Rogliano;1;0;9;45;137;25;1;165;2;2;1;0;3;219;0;;;2;;;;;0;;;1;;;;;;;312;12
San Vincenzo la Costa;4;1;16;67;207;23;6;165;3;7;22;7;8;620;11;;;2;;;;;0;;;10;;;;;;;157;16
Scigliano;0;2;4;38;102;17;7;141;4;1;11;1;10;278;3;;;1;;;;;0;;;1;;;;;;;354;8
Spezzano Della Sila;22;3;20;128;241;85;18;580;2;6;111;3;28;1295;15;;;5;;;;;1;;;8;;;;;;;943;28
Zumpano;2;5;6;50;181;28;7;127;2;4;36;0;6;640;3;;;0;;;;;1;;;6;;;;;;;479;13
Albi;4;1;16;10;39;0;2;89;0;8;15;0;9;318;3;;;0;;;;;0;;;3;;;;;;;237;12
Andali;0;3;4;27;59;7;1;38;0;2;2;0;3;193;4;;;0;;;;;0;;;0;;;;;;;259;5
Belcastro;7;0;6;29;116;15;5;88;1;2;9;6;2;216;5;;;0;;;;;0;;;1;;;;;;;478;8
Botricello;31;9;28;117;573;89;10;263;2;4;79;17;14;993;9;;;3;;;;;2;;;4;;;;;;;1402;44
Carlopoli;5;8;22;42;109;11;5;153;3;1;28;1;23;427;6;;;4;;;;;0;;;15;;;;;;;360;16
Cerva;3;1;6;68;103;22;1;45;0;0;3;1;1;356;4;;;0;;;;;0;;;0;;;;;;;357;11
Cicala;3;5;34;15;55;7;8;138;1;2;4;0;1;277;7;;;0;;;;;0;;;0;;;;;;;205;10
Cropani;11;0;35;108;404;56;11;249;6;7;28;1;3;1286;21;;;0;;;;;0;;;11;;;;;;;1288;27
Fossato Serralta;13;1;2;7;26;4;1;29;0;0;1;0;0;181;2;;;0;;;;;0;;;1;;;;;;;168;7
Gimigliano;5;5;53;56;263;40;2;263;1;4;31;3;10;696;9;;;2;;;;;0;;;5;;;;;;;1219;31
Magisano;6;2;22;29;141;13;2;110;1;13;6;0;7;218;3;;;1;;;;;0;;;2;;;;;;;329;11
Marcedusa;0;0;1;9;48;3;1;30;2;0;2;0;0;66;1;;;1;;;;;0;;;1;;;;;;;174;4
Pentone;16;4;12;40;162;45;10;222;2;3;19;0;9;468;14;;;1;;;;;2;;;9;;;;;;;598;12
Petrona';5;8;60;64;162;9;8;162;3;3;24;0;6;768;6;;;0;;;;;1;;;5;;;;;;;778;23
San Pietro Apostolo;6;6;19;37;101;12;2;158;6;3;32;9;6;435;8;;;1;;;;;3;;;7;;;;;;;517;11
Sellia;3;0;16;12;42;9;4;39;0;1;6;0;2;105;2;;;0;;;;;0;;;3;;;;;;;160;9
Sellia Marina;9;13;28;228;647;110;23;507;41;24;45;9;18;1916;31;;;4;;;;;1;;;12;;;;;;;1882;51
Serrastretta;7;16;34;93;283;60;13;279;5;4;25;2;15;828;16;;;5;;;;;2;;;9;;;;;;;757;64
Sersale;38;3;23;171;221;30;65;234;5;5;57;0;36;1491;21;;;2;;;;;2;;;11;;;;;;;1225;37
Settingiano;6;4;15;106;352;60;7;210;3;2;20;0;12;751;20;;;1;;;;;0;;;4;;;;;;;759;26
Sorbo san Basile;0;0;13;16;44;3;1;60;0;1;5;1;2;303;2;;;1;;;;;0;;;5;;;;;;;185;8
Taverna;4;1;83;44;298;19;6;287;2;0;18;0;90;690;11;;;1;;;;;0;;;15;;;;;;;575;27
Tiriolo;8;8;18;77;277;40;13;363;7;5;36;11;35;992;12;;;2;;;;;1;;;15;;;;;;;1082;50
Zagarise;6;1;14;46;155;27;2;79;2;1;48;1;4;465;9;;;1;;;;;0;;;2;;;;;;;420;11
Belvedere di Spinello;2;2;32;20;150;17;8;98;1;2;27;16;18;514;5;;;0;;;;;3;;;10;;;;;;;805;24
Caccuri;2;5;36;46;188;21;3;156;3;3;38;6;9;352;8;;;2;;;;;0;;;1;;;;;;;399;17
Carfizzi;0;0;7;23;20;2;3;104;0;0;32;0;0;109;4;;;0;;;;;1;;;11;;;;;;;195;10
Casabona;3;8;9;20;145;23;2;263;3;5;18;11;2;615;8;;;1;;;;;0;;;5;;;;;;;887;36
Castelsilano;0;4;1;20;52;17;3;125;1;1;12;3;2;236;9;;;1;;;;;0;;;10;;;;;;;306;4
Cerenzia;0;0;7;24;90;11;7;104;2;0;12;1;2;300;9;;;3;;;;;0;;;5;;;;;;;357;9
Ciro';1;2;17;55;175;18;8;257;5;1;38;2;0;537;16;;;2;;;;;0;;;4;;;;;;;1108;23
Ciro' Marina;30;26;102;209;928;176;27;658;7;19;87;27;15;3129;34;;;7;;;;;8;;;17;;;;;;;5265;83
Cotronei;8;2;24;139;370;52;7;360;5;2;130;15;28;1288;16;;;3;;;;;1;;;3;;;;;;;1677;37
Crotone;110;85;654;1211;4834;666;230;2578;45;45;837;360;209;14295;182;;;47;;;;;180;;;73;;;;;;;18359;264
Crucoli;4;6;15;81;165;47;2;453;3;2;37;4;4;680;10;;;1;;;;;0;;;3;;;;;;;844;26
Cutro;11;9;82;405;1274;69;17;456;6;5;97;47;12;1668;33;;;5;;;;;5;;;10;;;;;;;3417;63
Isola di Capo Rizzuto;16;7;151;368;2292;217;20;365;10;9;112;260;54;2976;36;;;4;;;;;6;;;15;;;;;;;4625;72
Melissa;13;4;46;45;156;29;6;290;3;4;35;8;1;791;6;;;3;;;;;0;;;3;;;;;;;1140;32
Mesoraca;27;10;108;126;344;44;17;489;2;11;81;28;6;1295;14;;;3;;;;;0;;;16;;;;;;;2107;64
Pallagorio;1;2;3;35;100;7;1;180;4;4;11;6;6;226;5;;;2;;;;;0;;;7;;;;;;;376;21
Petilia Policastro;12;8;54;109;688;65;13;363;11;7;112;51;13;2473;23;;;7;;;;;6;;;18;;;;;;;2716;71
Roccabernarda;6;5;10;58;220;43;6;204;1;4;44;19;23;860;12;;;6;;;;;3;;;4;;;;;;;1050;30
Rocca di Neto;4;6;46;77;327;58;5;287;1;3;57;208;14;1281;15;;;1;;;;;0;;;5;;;;;;;1809;33
San Mauro Marchesato;10;5;77;41;113;10;2;145;9;5;53;3;7;472;9;;;5;;;;;1;;;5;;;;;;;708;33
San Nicola Dell'Alto;0;0;10;14;30;3;0;81;0;2;16;1;5;218;1;;;1;;;;;0;;;3;;;;;;;281;3
Santa Severina;1;3;11;28;94;21;9;135;4;1;190;5;69;433;1;;;1;;;;;1;;;8;;;;;;;585;20
Savelli;1;0;22;31;68;50;2;148;2;1;13;3;3;257;4;;;0;;;;;0;;;3;;;;;;;389;26
Scandale;7;4;36;52;216;22;7;278;0;2;26;13;9;719;10;;;2;;;;;1;;;7;;;;;;;978;22
Strongoli;15;11;90;97;439;60;14;322;7;2;76;18;7;1583;14;;;2;;;;;7;;;15;;;;;;;2149;44
Umbriatico;1;0;1;10;73;2;1;44;0;1;23;6;2;183;3;;;1;;;;;0;;;2;;;;;;;320;2
Verzino;1;0;2;40;105;13;7;82;3;0;294;1;11;301;4;;;0;;;;;1;;;5;;;;;;;533;26
Amato;4;1;5;11;84;24;0;97;0;0;7;0;4;165;2;;;2;;;;;0;;;0;;;;;;;208;11
Borgia;41;11;24;166;810;105;16;609;28;8;45;3;41;1812;67;;;6;;;;;3;;;38;;;;;;;2009;50
Caraffa di Catanzaro;5;1;18;67;206;20;8;200;43;2;48;0;3;385;10;;;3;;;;;2;;;10;;;;;;;475;16
Catanzaro;416;268;374;2150;9013;2267;565;6226;134;89;1072;33;416;18987;383;;;74;;;;;33;;;140;;;;;;;26288;486
Conflenti;12;14;11;79;114;27;4;85;2;1;9;4;10;323;9;;;1;;;;;0;;;2;;;;;;;385;15
Cortale;6;7;7;43;166;30;11;238;3;0;36;4;66;345;10;;;2;;;;;4;;;7;;;;;;;693;33
Curinga;25;28;23;218;613;98;20;485;19;28;58;0;38;1526;15;;;3;;;;;2;;;16;;;;;;;1798;66
Decollatura;14;92;108;69;169;29;8;237;4;9;29;4;54;859;12;;;4;;;;;4;;;11;;;;;;;755;29
Falerna;76;4;23;140;332;61;15;245;0;3;22;0;6;980;9;;;3;;;;;1;;;3;;;;;;;886;22
Feroleto Antico;9;15;26;60;205;45;2;145;2;1;8;7;10;486;9;;;0;;;;;2;;;4;;;;;;;569;13
Girifalco;58;3;51;181;465;148;19;523;11;4;86;2;20;1384;16;;;6;;;;;1;;;19;;;;;;;1737;39
Gizzeria;24;5;92;235;369;64;13;244;3;2;24;3;10;934;7;;;4;;;;;1;;;6;;;;;;;1298;18
Jacurso;0;3;5;11;60;12;2;56;0;0;12;1;33;106;1;;;0;;;;;0;;;0;;;;;;;194;6
Lamezia Terme;576;128;387;2614;5941;1741;365;3718;77;77;589;137;405;14030;159;;;22;;;;;31;;;86;;;;;;;20389;451
Maida;7;6;17;90;481;89;8;348;8;3;34;2;232;880;16;;;3;;;;;2;;;7;;;;;;;1114;39
Marcellinara;22;6;2;34;265;15;7;197;0;4;40;26;21;578;8;;;1;;;;;0;;;7;;;;;;;520;17
Martirano;3;2;7;34;75;6;0;48;2;3;7;1;6;244;3;;;1;;;;;0;;;1;;;;;;;326;14
Martirano Lombardo;13;1;13;47;84;13;6;112;1;2;3;1;18;226;3;;;2;;;;;1;;;2;;;;;;;342;8
Miglierina;0;0;18;14;63;4;1;86;0;1;1;0;0;166;3;;;1;;;;;2;;;0;;;;;;;204;9
Motta Santa Lucia;12;1;13;30;69;15;2;73;2;2;4;1;3;239;7;;;1;;;;;0;;;3;;;;;;;168;15
Nocera Terinese;24;4;48;201;339;66;20;317;5;10;61;6;12;1302;13;;;5;;;;;1;;;17;;;;;;;1236;52
Pianopoli;7;7;11;66;207;63;5;441;1;2;18;3;10;584;5;;;1;;;;;2;;;4;;;;;;;497;26
Platania;6;7;46;48;230;32;11;153;1;3;11;9;18;484;15;;;0;;;;;0;;;3;;;;;;;618;29
San Floro;4;1;6;8;50;13;1;61;0;0;1;0;4;208;2;;;0;;;;;0;;;3;;;;;;;185;9
San Mango d'Aquino;2;1;3;112;135;24;4;162;1;2;3;2;12;273;11;;;2;;;;;1;;;2;;;;;;;476;14
San Pietro a Maida;16;3;25;112;461;43;3;396;1;6;15;3;12;946;12;;;1;;;;;0;;;8;;;;;;;1066;43
Simeri Crichi;20;8;111;124;481;121;18;243;3;1;37;0;16;1110;17;;;0;;;;;0;;;8;;;;;;;1276;36
Soveria Mannelli;7;46;20;99;243;48;12;226;2;4;50;0;16;949;23;;;2;;;;;2;;;21;;;;;;;673;35
Soveria Simeri;2;1;10;56;144;21;8;97;1;3;14;14;2;419;11;;;1;;;;;0;;;4;;;;;;;373;20
Amaroni;1;4;19;41;107;90;10;134;0;3;164;0;7;364;7;;;1;;;;;2;;;8;;;;;;;487;29
Argusto;2;1;2;19;43;9;1;112;1;3;3;4;1;72;0;;;0;;;;;0;;;3;;;;;;;149;5
Badolato;2;0;25;70;377;74;3;292;2;3;36;6;15;526;7;;;1;;;;;0;;;4;;;;;;;900;33
Cardinale;22;0;6;77;207;95;5;168;2;1;5;49;10;303;8;;;2;;;;;0;;;4;;;;;;;738;16
Cenadi;0;0;2;7;62;13;1;70;0;0;2;2;6;100;1;;;0;;;;;0;;;2;;;;;;;182;5
Centrache;0;0;3;9;131;9;1;17;2;0;0;0;2;37;0;;;0;;;;;1;;;1;;;;;;;89;2
Chiaravalle Centrale;8;17;33;180;751;125;19;479;12;6;82;26;19;803;28;;;6;;;;;0;;;5;;;;;;;1768;63
Davoli;8;9;10;185;585;139;40;438;35;2;55;67;18;1066;12;;;0;;;;;1;;;7;;;;;;;1496;35
Gagliato;4;0;2;27;53;23;2;41;0;0;4;13;6;43;0;;;0;;;;;0;;;0;;;;;;;144;4
Gasperina;6;2;7;60;197;84;3;155;0;1;35;6;6;367;8;;;0;;;;;0;;;4;;;;;;;697;12
Guardavalle;12;2;33;88;518;144;6;567;5;8;109;2;8;724;17;;;3;;;;;2;;;18;;;;;;;1180;35
Isca Sullo Ionio;3;4;4;32;114;54;4;203;3;2;22;0;2;258;5;;;1;;;;;1;;;2;;;;;;;455;9
Montauro;4;2;7;34;107;120;14;274;2;3;28;1;7;290;3;;;4;;;;;0;;;1;;;;;;;533;12
Montepaone;14;14;12;185;481;277;18;418;1;1;63;3;18;1079;10;;;3;;;;;3;;;8;;;;;;;1373;36
Olivadi;2;2;0;9;56;5;2;61;9;0;6;1;2;112;2;;;0;;;;;0;;;3;;;;;;;165;7
Palermiti;2;0;5;45;130;20;2;89;2;21;7;3;2;270;3;;;1;;;;;0;;;0;;;;;;;356;7
Petrizzi;27;0;3;39;92;53;4;175;2;0;19;0;42;119;7;;;1;;;;;0;;;2;;;;;;;310;11
San Sostene;4;2;10;47;164;25;6;98;0;2;12;13;3;275;6;;;0;;;;;0;;;3;;;;;;;386;14
