RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);SGP;Middenpartij voor Stad en Land;CPN (De Visser);HGSP;Plattelandersbond;CPN (Wijnkoop);Rooms-Katholieke Volkspartij (RKVP);Revolutionair-Socialistische Partij;Federatief Verband;Christelijk-Democratische Unie;Democratische Partij;Kleine Winkeliers en Middenstanders;Nationale Boerenbond;Verbond van Nationalisten;Roomsch-Katholieke Boerenpartij (RKBP);Sociaal-Democratische Volkspartij;Algemene Welvaartspartij;Christelijke Arbeiderspartij;Lijst Van Nunen;Hoofd- en handarbeiders;Sociaal-Economische Volkspartij;Invalidenpartij;Lijst Verwey;Volkspartij;Anti-stemdwangpartij;Algemeen Belang;Neutrale Volkspartij;Lijst Siedenburg;Vrije Christelijke Partij;Internationale Volkspartij;@abs
Hoogwoud-G0404;;;473.0;165.0;2.0;4.0;68.0;297.0;4.0;2.0;;1.0;20.0;3.0;;1.0;2.0;1.0;11.0;;;;;;;;;;;;;;5.0;;;;;;
Hoorn-G0405;169.0;;1718.0;1967.0;281.0;271.0;695.0;701.0;12.0;61.0;12.0;6.0;11.0;13.0;36.0;91.0;53.0;13.0;12.0;2.0;4.0;;;;;;;;;;;;4.0;;;;;;424.0
Hoornaar-G0536;0.0;3.0;;38.0;179.0;3.0;58.0;19.0;13.0;;;2.0;8.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;21.0
Horn-G0922;10.0;9.0;630.0;2.0;;;;;;15.0;1.0;;1.0;2.0;;1.0;;;;;;;7.0;;;;;;;;;;;;;;;;19.0
Horssen-G0254;;;385.0;1.0;;42.0;17.0;;;1.0;;;1.0;;6.0;;;;;;;;;;;;;;;;1.0;;;;;;;;31.0
Horst-G0923;;;2689.0;23.0;4.0;10.0;;7.0;;14.0;1.0;;1.0;3.0;8.0;4.0;;;;;;;85.0;1.0;;;;;;;;;;;;;;;98.0
Houten-G0321;23.0;;665.0;34.0;58.0;68.0;18.0;14.0;170.0;;2.0;7.0;2.0;1.0;1.0;;;1.0;2.0;;3.0;;;;;;;;;;;;;;;;;;54.0
Houthem-G1086;8.0;12.0;675.0;35.0;4.0;11.0;25.0;5.0;;11.0;7.0;1.0;3.0;;6.0;5.0;;4.0;;;;;13.0;3.0;;;;;;;;;;;;;;;15.0
Huijbergen-G0803;;;299.0;2.0;1.0;4.0;;1.0;1.0;1.0;;1.0;;1.0;4.0;;;;3.0;;;;;;;;2.0;;;;;;;;;;;;26.0
Huissen-G0255;;;1935.0;41.0;5.0;95.0;7.0;5.0;;16.0;1.0;3.0;13.0;;8.0;;;3.0;;;1.0;;;;;;;;;;3.0;;;;;;;;262.0
Huizen-G0406;50.0;59.0;32.0;284.0;1176.0;894.0;155.0;60.0;282.0;65.0;16.0;211.0;7.0;5.0;2.0;9.0;2.0;;5.0;2.0;;2.0;;1.0;12.0;15.0;;;4.0;;;;;;;2.0;;;395.0
Hulsberg-G0924;7.0;13.0;807.0;24.0;5.0;8.0;9.0;15.0;1.0;11.0;1.0;;5.0;1.0;20.0;6.0;;;1.0;;;1.0;11.0;3.0;;;;;;;;;;;;;;;7.0
Hulst-G0677;111.0;;1202.0;150.0;4.0;10.0;51.0;46.0;8.0;37.0;3.0;6.0;15.0;5.0;30.0;6.0;6.0;3.0;3.0;;8.0;;;;;;;;;;;;;;;;;;131.0
Hummelo en Keppel-G0256;52.0;;230.0;220.0;187.0;159.0;337.0;291.0;17.0;6.0;;3.0;10.0;5.0;1.0;1.0;6.0;6.0;3.0;;4.0;1.0;;;;;;;;;5.0;;;;;;;;137.0
Hunsel-G0925;;;595.0;;;;;;;1.0;;;;;;2.0;;;;;;;13.0;;;;;;;;;;;;;;;;51.0
Hurwenen-G1089;;;95.0;31.0;8.0;67.0;6.0;9.0;1.0;;1.0;;25.0;;;2.0;;;;;;;;;;;;;;;1.0;;;;;;;;36.0
Idaarderadeel-G0078;92.0;;174.0;1493.0;136.0;50.0;379.0;580.0;6.0;5.0;46.0;15.0;43.0;20.0;4.0;8.0;;8.0;19.0;;8.0;;;;;;;;;;;;;;;;;;219.0
IJlst-G0102;6.0;;3.0;115.0;232.0;280.0;18.0;31.0;;;2.0;18.0;7.0;;;1.0;;10.0;2.0;;;;;;;;;;;;;;;;;;;;56.0
IJsselmonde-G1230;27.0;88.0;37.0;506.0;724.0;688.0;216.0;22.0;178.0;6.0;16.0;19.0;22.0;11.0;3.0;11.0;2.0;;1.0;4.0;8.0;1.0;;;;;;;;;;;;;;;;;165.0
IJsselmuiden-G0191;;;287.0;85.0;201.0;159.0;62.0;28.0;407.0;1.0;4.0;2.0;26.0;3.0;3.0;1.0;1.0;8.0;;;10.0;2.0;;;;;;;;;;;;;;;;;148.0
IJsselstein-G0353;95.0;;1094.0;113.0;132.0;362.0;18.0;4.0;164.0;7.0;3.0;40.0;25.0;2.0;8.0;;;4.0;6.0;;3.0;;;2.0;;1.0;;;;;;;;;;;;;121.0
IJzendijke-G0730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ilpendam-G0407;26.0;;224.0;374.0;29.0;128.0;32.0;134.0;7.0;22.0;72.0;5.0;128.0;6.0;3.0;;;2.0;5.0;1.0;;;;;;;;;;;;;;;;;;;
Itteren-G0926;8.0;6.0;228.0;2.0;;;2.0;;1.0;1.0;1.0;;;;1.0;1.0;;;;;;;3.0;1.0;;;;;;;;;;;;;;;15.0
Ittervoort-G1090;;;122.0;;;;;;;;;;;;;2.0;;1.0;;;;;6.0;;;;;;;;;;;;;;;;9.0
Jaarsveld-G1091;30.0;;44.0;78.0;229.0;69.0;9.0;37.0;144.0;6.0;2.0;5.0;19.0;2.0;;;;;;;4.0;2.0;;;;;;;;;;;;;;;;;62.0
Jabeek-G0927;1.0;3.0;189.0;6.0;;1.0;;1.0;;2.0;1.0;;;;2.0;2.0;;;;;;;4.0;;;;;;;;;;;;;;;;6.0
Jisp-G0408;;;;132.0;8.0;25.0;13.0;98.0;11.0;62.0;4.0;1.0;;5.0;;3.0;1.0;1.0;1.0;2.0;;;;;;;;;;;;;;;;;;;
Jutphaas-G0322;47.0;;822.0;313.0;146.0;386.0;20.0;15.0;82.0;5.0;2.0;7.0;12.0;1.0;5.0;1.0;3.0;2.0;;2.0;2.0;;;1.0;;1.0;;;;;;;;;;;;;74.0
Kamerik-G0323;11.0;;318.0;;153.0;271.0;9.0;;166.0;3.0;3.0;4.0;10.0;1.0;;2.0;1.0;;;;1.0;;;;;;;;;;;;;;;;;;79.0
Kampen-G0166;;;908.0;1480.0;2595.0;1699.0;615.0;362.0;923.0;47.0;10.0;82.0;45.0;11.0;23.0;28.0;49.0;36.0;;;19.0;10.0;;;;;;;;;;;;;;;;;1122.0
Kamperveen-G1092;;;3.0;3.0;57.0;73.0;6.0;;91.0;;;2.0;1.0;;;;;1.0;;;;;;;;;;;;;;;;;;;;;38.0
Kantens-G0020;19.0;;18.0;409.0;269.0;108.0;137.0;71.0;2.0;8.0;;1.0;20.0;2.0;;7.0;2.0;1.0;;;1.0;2.0;;;;;;;;;;;;;;;;;59.0
Kapelle-G0678;27.0;44.0;25.0;92.0;323.0;369.0;87.0;166.0;92.0;9.0;4.0;2.0;13.0;2.0;3.0;5.0;1.0;4.0;1.0;;4.0;;;;;;;;;;;;;;;;;;95.0
Kats-G1094;;;1.0;48.0;50.0;71.0;31.0;19.0;27.0;3.0;;;6.0;;;1.0;;;;;2.0;;;;;;;;;;;;;;;;;;
Kattendijke-G0679;;;7.0;86.0;93.0;222.0;33.0;46.0;37.0;2.0;;;18.0;1.0;1.0;4.0;1.0;4.0;;;2.0;;;;;;;;;;;;;;;;;;76.0
Katwijk-G0537;229.0;;305.0;239.0;834.0;3290.0;141.0;96.0;458.0;29.0;3.0;156.0;12.0;10.0;1.0;20.0;8.0;17.0;4.0;;4.0;3.0;;;;;;;10.0;;;;;;;;;;589.0
Katwoude-G0409;;;8.0;16.0;14.0;43.0;2.0;5.0;;;;;25.0;;;;1.0;;2.0;;;;;;;;;;;;;;;;;;;;
Kedichem-G0538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kerkrade-G0928;;;6966.0;1661.0;68.0;125.0;43.0;102.0;24.0;88.0;127.0;8.0;27.0;32.0;35.0;103.0;;5.0;176.0;;11.0;12.0;42.0;327.0;;;;;;;;;;;;;;;1350.0
Kerkwerve-G1095;;;5.0;44.0;122.0;73.0;38.0;22.0;49.0;12.0;;;18.0;2.0;;2.0;1.0;2.0;1.0;;1.0;;;;;;;;;;;;;;;;;;
Kerkwijk-G0257;;;5.0;18.0;343.0;121.0;9.0;3.0;7.0;;;2.0;25.0;2.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;59.0
Kessel-G0929;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kesteren-G0258;16.0;91.0;20.0;223.0;584.0;83.0;161.0;22.0;399.0;9.0;5.0;7.0;13.0;6.0;2.0;4.0;8.0;3.0;11.0;4.0;5.0;4.0;;;;;;;;;4.0;;;;;;;;211.0
Kethel en Spaland-G1096;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Klaaswaal-G0539;;;1.0;170.0;119.0;242.0;185.0;23.0;131.0;4.0;2.0;1.0;24.0;3.0;;4.0;5.0;;2.0;;5.0;;;;;;;;;;;;;;;;;;134.0
Klimmen-G0930;9.0;4.0;767.0;15.0;;;1.0;;1.0;4.0;;;;;1.0;6.0;;;3.0;;;2.0;5.0;3.0;;;;;;;;;;;;;;;49.0
Kloetinge-G0680;20.0;12.0;48.0;73.0;165.0;463.0;53.0;83.0;55.0;2.0;3.0;7.0;7.0;1.0;3.0;8.0;2.0;2.0;1.0;;3.0;;;;;;;;;;;;;;;;;;75.0
Kloosterburen-G0021;13.0;;409.0;247.0;189.0;11.0;97.0;38.0;3.0;2.0;;;1.0;;;2.0;4.0;;;;1.0;1.0;;;;;;;;;;;;;;;;;66.0
Klundert-G0804;;;730.0;46.0;752.0;436.0;21.0;10.0;42.0;8.0;;12.0;6.0;5.0;5.0;2.0;1.0;;3.0;;;1.0;1.0;;;;;;;;;;;;;;;;234.0
Kockengen-G0324;8.0;;128.0;3.0;99.0;60.0;9.0;;81.0;;;7.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;21.0
Koedijk-G0410;;;200.0;261.0;22.0;43.0;96.0;236.0;1.0;5.0;4.0;1.0;29.0;5.0;4.0;;4.0;3.0;11.0;;;;;;;;;;;;;;1.0;;;;;;
Koewacht-G0681;75.0;;586.0;73.0;3.0;15.0;65.0;9.0;6.0;21.0;;2.0;3.0;5.0;16.0;8.0;6.0;4.0;4.0;;6.0;;;;;;;;;;;;;;;;;;121.0
Kollumerland en Nieuwkruisland-G0079;87.0;;21.0;420.0;1839.0;1274.0;253.0;162.0;25.0;10.0;2.0;8.0;26.0;6.0;2.0;8.0;;16.0;13.0;;2.0;;;;;;;;;;;;;;;;;;296.0
Koog aan de Zaan-G0411;;;158.0;993.0;178.0;63.0;173.0;310.0;14.0;;90.0;4.0;6.0;22.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;405.0
Kortenhoef-G1097;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kortgene-G0682;;;3.0;78.0;125.0;114.0;58.0;74.0;61.0;34.0;1.0;3.0;11.0;3.0;2.0;5.0;2.0;14.0;1.0;;;;;;;;;;;;;;;;;;;;
Koudekerk aan den Rijn-G0540;31.0;;88.0;35.0;250.0;284.0;27.0;9.0;14.0;1.0;1.0;4.0;6.0;;;1.0;2.0;1.0;;1.0;;;;;;;;;;;;;;;;;;;41.0
Koudekerke-G1098;81.0;;24.0;203.0;621.0;498.0;104.0;87.0;155.0;10.0;2.0;;6.0;3.0;2.0;4.0;11.0;6.0;2.0;;;;;;;;;;;;;;;;;;;;158.0
Krabbendijke-G0684;9.0;20.0;3.0;49.0;177.0;256.0;25.0;156.0;301.0;5.0;;3.0;2.0;1.0;2.0;5.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;216.0
Krimpen aan de Lek-G0541;;;;482.0;425.0;58.0;103.0;163.0;144.0;;;;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;231.0
Krimpen aan den IJssel-G0542;;;8.0;631.0;248.0;289.0;132.0;43.0;350.0;3.0;12.0;5.0;9.0;3.0;2.0;4.0;4.0;8.0;3.0;1.0;1.0;3.0;;;;;;;3.0;;;;;;;;;;292.0
Krommenie-G0413;14.0;43.0;556.0;764.0;201.0;52.0;105.0;302.0;4.0;72.0;414.0;2.0;23.0;34.0;21.0;11.0;13.0;19.0;8.0;3.0;2.0;;;;;;;;;;;;21.0;;;;;;61.0
Kruiningen-G0685;;;226.0;260.0;181.0;373.0;60.0;282.0;143.0;4.0;4.0;9.0;29.0;5.0;7.0;4.0;1.0;8.0;3.0;;5.0;;;;;;;;;;;;;;;;;;
Kuinre-G0167;;;36.0;63.0;31.0;143.0;43.0;31.0;;;;;2.0;;;3.0;1.0;3.0;;;;;;;;;;;;;;;;;;;;;23.0
Kwadijk-G0414;4.0;;8.0;92.0;4.0;8.0;30.0;32.0;3.0;2.0;2.0;1.0;54.0;;;2.0;;1.0;;2.0;;;;;;;;;;;;;;;;;;;
Laag-Nieuwkoop-G1100;3.0;;83.0;11.0;30.0;35.0;3.0;;30.0;2.0;;;4.0;1.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;7.0
Landsmeer-G0415;;;38.0;569.0;259.0;125.0;45.0;277.0;11.0;41.0;39.0;9.0;42.0;11.0;4.0;5.0;9.0;3.0;1.0;;1.0;;;;;;;;;;;;5.0;;;;;;234.0
Langbroek-G0325;32.0;;134.0;34.0;163.0;71.0;3.0;12.0;137.0;;2.0;1.0;6.0;3.0;1.0;;3.0;;;;;;;;;1.0;;;;;;;;;;;;;67.0
Lange Ruige Weide-G1101;0.0;1.0;13.0;1.0;157.0;90.0;10.0;1.0;49.0;;;2.0;3.0;;;;;;;1.0;;;;;;;;;;;;;;;;;;;29.0
Langerak-G0543;11.0;9.0;;22.0;176.0;17.0;30.0;22.0;102.0;2.0;;15.0;3.0;1.0;1.0;;3.0;;;;;;;;;;;;;;;;;;;;;;63.0
Laren-G0417;;;1499.0;276.0;136.0;241.0;341.0;129.0;14.0;151.0;35.0;2.0;3.0;18.0;;5.0;14.0;;;;;;;;;;;;;;;;;;;;;;
Laren (Gld.)-G0259;92.0;;38.0;234.0;356.0;421.0;955.0;406.0;10.0;20.0;6.0;5.0;83.0;17.0;;3.0;15.0;15.0;4.0;5.0;3.0;6.0;;;4.0;2.0;;;;;;;;;;;;;243.0
Leek-G0022;68.0;;5.0;822.0;1154.0;268.0;301.0;519.0;2.0;6.0;5.0;4.0;128.0;26.0;4.0;6.0;4.0;6.0;10.0;;2.0;2.0;;;;;;;;;;;;;;;;;294.0
Leende-G0805;3.0;3.0;789.0;11.0;;4.0;;;;4.0;;;1.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;41.0
Leens-G0023;40.0;;187.0;472.0;718.0;38.0;376.0;130.0;4.0;3.0;;1.0;4.0;5.0;2.0;7.0;14.0;4.0;12.0;;9.0;4.0;;;;;;;;;;;;;;;;;142.0
Leerbroek-G0544;6.0;6.0;;13.0;260.0;19.0;27.0;;65.0;;2.0;;3.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;65.0
Leerdam-G0545;;;178.0;934.0;1494.0;268.0;116.0;215.0;340.0;38.0;36.0;4.0;26.0;3.0;5.0;11.0;10.0;;3.0;6.0;5.0;2.0;;;;;;;;;;;;;;;;;399.0
Leersum-G0326;54.0;;12.0;215.0;258.0;132.0;74.0;40.0;118.0;12.0;5.0;10.0;42.0;5.0;;;9.0;3.0;5.0;;3.0;5.0;;1.0;;2.0;;;;;;;;;;;;;64.0
Leeuwarden-G0080;812.0;;2424.0;9468.0;3143.0;1785.0;2375.0;2206.0;56.0;148.0;114.0;254.0;109.0;75.0;79.0;120.0;;293.0;90.0;;36.0;;;;;;;;;;;;;;;;;;2187.0
Leeuwarderadeel-G0081;177.0;;404.0;3331.0;1389.0;668.0;653.0;828.0;11.0;23.0;27.0;42.0;266.0;13.0;15.0;29.0;;96.0;29.0;;6.0;;;;;;;;;;;;;;;;;;489.0
Leiden-G0546;;;6866.0;9381.0;3145.0;6231.0;1969.0;2008.0;391.0;296.0;404.0;697.0;24.0;57.0;96.0;220.0;193.0;125.0;130.0;11.0;15.0;31.0;;;;;;;57.0;;;;;;;;;;3488.0
Leiderdorp-G0547;6.0;27.0;108.0;59.0;468.0;267.0;19.0;17.0;12.0;3.0;1.0;18.0;1.0;;;4.0;;1.0;;;;;;;;;;;2.0;;;;;;;;;;62.0
Leimuiden-G0549;;;390.0;11.0;175.0;121.0;24.0;29.0;7.0;9.0;4.0;12.0;7.0;3.0;2.0;2.0;;;1.0;;;;;;;;;;;;;;;;;;;;84.0
Lekkerkerk-G0550;;;2.0;495.0;209.0;15.0;711.0;154.0;241.0;6.0;1.0;1.0;36.0;5.0;2.0;6.0;15.0;3.0;7.0;4.0;;7.0;;;;;;;4.0;;;;;;;;;;234.0
Lemsterland-G0082;83.0;;222.0;726.0;625.0;690.0;26.0;240.0;69.0;8.0;1.0;10.0;48.0;140.0;1.0;12.0;;406.0;5.0;;5.0;;;;;;;;;;;;;;;;;;458.0
Leusden-G0327;40.0;;344.0;71.0;153.0;175.0;80.0;24.0;57.0;8.0;;4.0;6.0;1.0;4.0;8.0;3.0;4.0;;;1.0;3.0;;;;;;;;;;;;;;;;;51.0
Lexmond-G0551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lichtenvoorde-G0260;35.0;;2515.0;57.0;63.0;270.0;19.0;29.0;2.0;3.0;17.0;;;5.0;;3.0;2.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;;;;;;;107.0
Liempde-G0806;;;795.0;6.0;;1.0;;;;8.0;;;;3.0;5.0;1.0;2.0;;1.0;;;;;;;;;;;;;;;;;;;;36.0
Lienden-G0261;;;8.0;250.0;138.0;69.0;871.0;39.0;192.0;5.0;6.0;12.0;57.0;9.0;4.0;7.0;21.0;15.0;139.0;5.0;10.0;5.0;;;;;;;;;6.0;;;;;;;;372.0
Lierop-G1102;;;521.0;;;;;;;1.0;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;9.0
Lieshout-G0807;1.0;0.0;848.0;3.0;;3.0;;1.0;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;28.0
Limbricht-G0931;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Limmen-G0418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linden-G1103;;;237.0;;;;;;;1.0;;;;;;;;;;;;;3.0;;;;;;;;;;;;;;;;19.0
Linne-G0932;;;580.0;8.0;2.0;8.0;;5.0;;2.0;1.0;;1.0;1.0;;1.0;;;;;;;28.0;;;;;;;;;;;;;;;;72.0
Linschoten-G0328;21.0;;201.0;17.0;166.0;156.0;64.0;10.0;133.0;3.0;1.0;;10.0;;;;;;;;5.0;;;;;1.0;;;;;;;;;;;;;67.0
Lisse-G0553;;;1808.0;99.0;375.0;507.0;132.0;64.0;215.0;26.0;2.0;39.0;15.0;2.0;5.0;4.0;5.0;;3.0;;;;;;;;;;2.0;;;;;;;;;;234.0
Lith-G0808;;;529.0;4.0;;2.0;11.0;1.0;1.0;12.0;;;1.0;2.0;13.0;3.0;1.0;;;;;;;;;;;;;;;;;;;;;;133.0
Lithoijen-G1104;;;238.0;;1.0;3.0;10.0;1.0;;1.0;2.0;;1.0;;;1.0;;;;;;;1.0;;;;;;;;;;;;;;;;33.0
Lochem-G0262;122.0;;111.0;1087.0;162.0;220.0;451.0;615.0;5.0;13.0;54.0;5.0;33.0;15.0;;10.0;11.0;21.0;6.0;1.0;5.0;9.0;;;5.0;4.0;;;;;;;;;;;;;148.0
Loenen-G0329;11.0;;128.0;88.0;103.0;229.0;62.0;28.0;49.0;6.0;3.0;2.0;7.0;;4.0;;;3.0;;;2.0;;;;;;;;;;;;;;;;;;63.0
Loenersloot-G1105;9.0;;79.0;10.0;48.0;39.0;4.0;;16.0;;;27.0;1.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;9.0
Lonneker-G1106;;;2270.0;4723.0;782.0;1334.0;339.0;236.0;45.0;60.0;453.0;20.0;1063.0;65.0;99.0;133.0;30.0;59.0;16.0;;60.0;28.0;;;;;;;;;;;;;;;;;
Loon op Zand-G0809;;;3867.0;41.0;33.0;42.0;1.0;16.0;155.0;30.0;2.0;5.0;14.0;3.0;11.0;22.0;2.0;;;3.0;;2.0;2.0;;;;1.0;;;;;;;;;;;;295.0
Loosdrecht-G0330;102.0;;96.0;193.0;302.0;460.0;56.0;51.0;98.0;28.0;14.0;38.0;76.0;10.0;1.0;1.0;7.0;;1.0;2.0;4.0;4.0;;2.0;;10.0;;;;;;;;;;;;;183.0
Lopik-G0331;23.0;;265.0;34.0;185.0;55.0;20.0;11.0;96.0;1.0;2.0;2.0;30.0;4.0;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;;61.0
Loppersum-G0024;20.0;;9.0;439.0;724.0;140.0;111.0;212.0;;3.0;10.0;2.0;34.0;2.0;1.0;3.0;4.0;3.0;4.0;;2.0;2.0;;;;;;;;;;;;;;;;;114.0
Losser-G0168;;;3972.0;836.0;45.0;453.0;51.0;15.0;7.0;29.0;79.0;1.0;37.0;9.0;47.0;21.0;5.0;11.0;1.0;;16.0;4.0;;;;;;;;;;;;;;;;;472.0
Luyksgestel-G0810;;;383.0;1.0;;1.0;;1.0;;2.0;;;1.0;;3.0;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;30.0
Maarheeze-G0811;;;998.0;3.0;2.0;4.0;;;4.0;4.0;1.0;;;1.0;7.0;1.0;;;;;;;7.0;;;;;;;;;;;;;;;;65.0
Maarn-G0332;40.0;;55.0;209.0;169.0;155.0;45.0;37.0;52.0;14.0;6.0;4.0;10.0;1.0;1.0;;10.0;4.0;2.0;2.0;1.0;;;;;6.0;;;;;;;;;;;;;64.0
Maarssen-G0333;62.0;;382.0;301.0;223.0;223.0;112.0;58.0;84.0;25.0;10.0;9.0;33.0;2.0;3.0;;5.0;1.0;;;1.0;;;;;;;;;;;;;;;;;;105.0
Maarsseveen-G1108;29.0;;174.0;92.0;94.0;244.0;24.0;22.0;59.0;7.0;3.0;2.0;27.0;;3.0;1.0;1.0;5.0;;1.0;2.0;;;;;;;;;;;;;;;;;;49.0
Maartensdijk-G0334;127.0;;205.0;330.0;325.0;176.0;107.0;62.0;303.0;22.0;12.0;11.0;34.0;2.0;7.0;1.0;1.0;5.0;1.0;3.0;4.0;5.0;;2.0;;4.0;;;;;;;;;;;;;187.0
Maasbracht-G0933;9.0;6.0;685.0;13.0;1.0;4.0;3.0;8.0;1.0;2.0;1.0;1.0;;1.0;2.0;;;1.0;;;;;22.0;;;;;;;;;;;;;;;;51.0
Maasbree-G0934;;;4769.0;315.0;30.0;40.0;21.0;17.0;5.0;20.0;1.0;1.0;3.0;5.0;19.0;10.0;;2.0;9.0;;1.0;7.0;53.0;2.0;;;;;;;;;;;;;;;305.0
Maasdam-G0554;;;6.0;173.0;108.0;127.0;150.0;24.0;82.0;1.0;;12.0;22.0;1.0;2.0;3.0;7.0;;2.0;;;1.0;;;;;;;;;;;;;;;;;100.0
Maashees en Overloon-G1109;;;837.0;4.0;5.0;1.0;2.0;;;5.0;;;1.0;;2.0;2.0;;;;2.0;;;10.0;;;;;;;;;;;;;;;;45.0
Maasland-G0555;20.0;;227.0;35.0;525.0;577.0;18.0;11.0;22.0;1.0;1.0;18.0;8.0;1.0;1.0;;1.0;;7.0;1.0;;;;;;;;;;;;;;;;;;;76.0
Maasniel-G1110;;;1164.0;80.0;3.0;1.0;3.0;6.0;1.0;13.0;;;7.0;1.0;2.0;12.0;;;;;;1.0;146.0;1.0;;;;;;;;;;;;;;;192.0
Maassluis-G0556;89.0;;274.0;679.0;1613.0;1079.0;185.0;151.0;124.0;17.0;1.0;9.0;4.0;6.0;2.0;24.0;17.0;;49.0;1.0;2.0;4.0;;;;;;;;;;;;;;;;;513.0
Maastricht-G0935;;;16235.0;6819.0;133.0;87.0;417.0;382.0;40.0;183.0;157.0;36.0;42.0;28.0;297.0;139.0;;17.0;15.0;;9.0;30.0;93.0;78.0;;;;;;;;;;;;;;;2567.0
Made en Drimmelen-G0812;;;1631.0;11.0;75.0;82.0;17.0;50.0;9.0;29.0;;1.0;7.0;5.0;6.0;10.0;;;;4.0;1.0;2.0;2.0;;;;;;;;;;;;;;;;341.0
Margraten-G0936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Markelo-G0169;;;123.0;803.0;132.0;493.0;138.0;140.0;32.0;23.0;20.0;3.0;340.0;14.0;4.0;49.0;9.0;17.0;6.0;;10.0;6.0;;;;;;;;;;;;;;;;;
Marken-G0419;;;2.0;6.0;239.0;380.0;;4.0;1.0;;1.0;28.0;;2.0;;;;;;;;;;;;;;;;;;;1.0;;;;;;76.0
Marum-G0025;;;3.0;764.0;777.0;89.0;321.0;490.0;3.0;3.0;4.0;5.0;136.0;15.0;1.0;7.0;1.0;10.0;7.0;;1.0;1.0;;;;;;;;;;;;;;;;;288.0
Maurik-G0264;;;133.0;509.0;25.0;143.0;692.0;88.0;91.0;1.0;2.0;17.0;104.0;2.0;10.0;2.0;24.0;2.0;89.0;6.0;5.0;3.0;;;;;;;;;16.0;;;;;;;;331.0
Medemblik-G0420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meeden-G0026;34.0;;;355.0;248.0;16.0;130.0;31.0;;1.0;6.0;1.0;12.0;5.0;2.0;6.0;1.0;5.0;2.0;;1.0;1.0;;;;;;;;;;;;;;;;;96.0
Meerkerk-G0557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meerlo-G0937;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meerssen-G0938;65.0;38.0;1829.0;168.0;12.0;8.0;9.0;15.0;2.0;12.0;3.0;;4.0;6.0;20.0;21.0;;8.0;1.0;;1.0;3.0;10.0;7.0;;;;;;;;;;;;;;;63.0
Megen, Haren en Macharen-G0813;;;804.0;2.0;;1.0;;;;2.0;;;1.0;;4.0;1.0;1.0;;;;;;1.0;;;;;;;;;;;;;;;;55.0
Meijel-G0941;;;947.0;3.0;1.0;;;;;3.0;;;;;;1.0;;;;;;;9.0;;;;;;;;;;;;;;;;46.0
Melick en Herkenbosch-G0939;;;938.0;46.0;2.0;3.0;;3.0;2.0;6.0;1.0;1.0;1.0;4.0;1.0;9.0;;1.0;3.0;;1.0;;170.0;1.0;;;;;;;;;;;;;;;85.0
Meliskerke-G1112;8.0;;2.0;1.0;113.0;25.0;;1.0;127.0;;;2.0;4.0;2.0;;2.0;;;;;;;;;;;;;;;;;;;;;;;
Melissant-G1113;;;27.0;79.0;234.0;143.0;46.0;13.0;216.0;3.0;2.0;;9.0;4.0;1.0;4.0;1.0;;;;4.0;;;;;;;;;;;;;;;;;;140.0
Menaldumadeel-G0083;116.0;;261.0;2150.0;1083.0;813.0;323.0;536.0;7.0;22.0;52.0;29.0;181.0;14.0;7.0;11.0;;32.0;23.0;;9.0;;;;;;;;;;;;;;;;;;379.0
Meppel-G0119;;;104.0;1444.0;970.0;1407.0;442.0;834.0;36.0;37.0;10.0;9.0;31.0;13.0;15.0;9.0;33.0;140.0;10.0;;5.0;30.0;;;;;;;;;;;;;;;;;779.0
