RegioNaam;@invalid;@blank;CDA;PvdA;VVD;GL;SP;D66;CU;LPF;SGP;CU-SGP;FNP;Partij Nieuw Limburg;Leefbaar Zuid-Holland;Verenigde Senioren Partij;Leefbaar Brabant/BOF;Ouderenpartij NH/VSP;Partij voor het Noorden;Leefbaar Gelderland/De Groenen;Partij voor Zeeland;Gemeentebelangen Friesland;Leefbaar Noord-Holland;De Groenen/Noord-Holland Anders;Mooi Zuid-Holland/De Groenen;Onafhankelijke Partij Drenthe;Nieuwe Communistische Partij;Drents Belang/DOP;Leefbaar Provincie Utrecht;Leefbaar Provinciale Partij;"Politieke Partij ""Alianza""";Amsterdam Anders;Lijst Nieuwe Politiek (LNP);Nieuwe Toekomst Partij;Leefbaar Flevoland;DG;Nederlandse Volks Unie (NVU);Holst;Lijst Veldhoen;VIP Vooruitstrevende Integratie Partij;Democratisch Platform Nederland;N-sap;@abs
Gendringen-G0237;;6;3620;1963;880;197;334.0;122;39.0;158;13.0;;;;;;;;;58.0;;;;;;;;;;;;;;;;;13.0;;;;;;8187
Gennep-G0907;;6;1628;778;1072;148;253.0;1728;;99;;;;65.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6968
Giessenlanden-G0689;;3;1943;1339;1573;177;152.0;150;751.0;129;397.0;;;;35.0;37.0;;;;;;;;;10.0;;;;;;0.0;;3.0;0.0;;;;3.0;0.0;0.0;0.0;0.0;4017
Gilze en Rijen-G0784;;8;2993;2120;1427;340;500.0;330;;271;;26.0;;;;53.0;88.0;;;;;;;;;;;;;;;;11.0;;;;;;;;;;10469
Goedereede-G0511;;0;1384;659;925;96;104.0;60;308.0;110;1745.0;;;;32.0;4.0;;;;;;;;;8.0;;;;;;0.0;;0.0;2.0;;;;0.0;0.0;0.0;2.0;0.0;3373
Goes-G0664;;10;3733;2814;1918;1448;573.0;513;733.0;339;1472.0;;;;;;;;;;464.0;;;;;;;;;;;;;;;;;;;;;;13738
Goirle-G0785;;11;2719;1657;1413;559;550.0;388;;144;;25.0;;;;66.0;74.0;;;;;;;;;;;;;;;;5.0;;;;;;;;;;9585
Gorinchem-G0512;;39;2828;4089;2891;693;782.0;552;623.0;471;312.0;;;;140.0;153.0;;;;;;;;;65.0;;;;;;24.0;;8.0;7.0;;;;4.0;6.0;4.0;10.0;9.0;11061
Gorssel-G0239;;2;2243;1454;1749;347;231.0;311;79.0;88;13.0;;;;;;;;;129.0;;;;;;;;;;;;;;;;;8.0;;;;;;3880
Gouda-G0513;;31;5120;6512;4571;2427;1422.0;1418;1517.0;1080;1479.0;;;;175.0;46.0;;;;;;;;;104.0;;;;;;16.0;;9.0;8.0;;;;9.0;3.0;6.0;;1.0;25807
Graafstroom-G0693;;3;1805;473;525;91;102.0;49;595.0;48;1018.0;;;;19.0;5.0;;;;;;;;;10.0;;;;;;0.0;;1.0;0.0;;;;0.0;3.0;0.0;2.0;1.0;2044
Graft-De Rijp-G0365;;5;654;605;694;170;125.0;185;;72;;6.0;;;;;;29.0;;;;;25.0;13.0;;;1.0;;;17.0;;3.0;;2.0;;;;;;;;;2100
Grave-G0786;;3;1544;822;1065;257;423.0;253;;127;;32.0;;;;22.0;21.0;;;;;;;;;;;;;;;;1.0;;;;;;;;;;4849
Groenlo-G0240;;2;1966;691;481;89;183.0;73;6.0;37;5.0;;;;;;;;;36.0;;;;;;;;;;;;;;;;;1.0;;;;;;3785
Groesbeek-G0241;;4;2442;1777;834;477;603.0;244;27.0;140;11.0;;;;;;;;;159.0;;;;;;;;;;;;;;;;;4.0;;;;;;8011
Groningen-G0014;;97;9067;25348;10041;10938;7362.0;4880;4440.0;1079;;;;;;;;;2673.0;;;;;;;;491.0;;;;;;;;;;;;;;;;67677
Grootegast-G0015;;3;2303;970;565;171;163.0;78;728.0;119;;;;;;;;;93.0;;;;;;;;11.0;;;;;;;;;;;;;;;;3581
Gulpen-Wittem-G1729;;1;3248;1030;553;270;251.0;179;;128;;;;1375.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4710
Haaksbergen-G0158;;8;4696;1939;1308;301;324.0;333;54.0;216;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9008
