RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;GL;SGP;Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Centrumdemocraten;SP;DG;Vrouwenpartij;Bejaarden Centraal;VCN: partij van communisten in Nederland;Realisten Nederland;Socialistische Arbeiderspartij;Anti Werkloosheid Partij;Politieke Partij voor Ouderen;Vooruitstrevende Minderheden Partij;Partij Democratisch Socialisten;Socialistische Minderheden Partij;Humanistische Partij;Milieu Defensie Partij 2000+;Grote Alliance Partij;Staatkundige Federatie;@abs
Goor-G0156;16;;2723;3171;1060;584;125;7.0;43.0;48.0;38.0;23.0;11.0;9.0;3.0;3.0;5.0;6.0;4.0;12.0;;;;;;;;1170.0
Gorinchem-G0512;70;;4107;7008;2257;1228;638;380.0;186.0;254.0;197.0;34.0;54.0;9.0;23.0;11.0;8.0;13.0;3.0;;3.0;;;;;;;4230.0
Gorssel-G0239;18;;3498;2518;2375;799;241;22.0;55.0;23.0;27.0;2.0;31.0;15.0;4.0;1.0;8.0;2.0;;;1.0;;;;;;;1179.0
Gouda-G0513;105;;10038;12414;5677;3968;1656;1420.0;532.0;435.0;685.0;70.0;111.0;46.0;43.0;16.0;21.0;13.0;6.0;;4.0;;5.0;;;;;8641.0
Graafstroom-G0693;22;;2465;792;593;202;107;1097.0;88.0;254.0;21.0;5.0;10.0;2.0;3.0;;5.0;2.0;;;;;;;;;;731.0
Graft-De Rijp-G0365;11;;1234;909;904;334;161;9.0;4.0;1.0;21.0;;17.0;5.0;4.0;4.0;5.0;1.0;1.0;2.0;;;;;;;;523.0
Gramsbergen-G0157;9;;1989;1298;318;135;60;9.0;171.0;47.0;6.0;4.0;4.0;1.0;;1.0;;;;;1.0;;;;;;;331.0
Grathem-G0909;8;;1153;324;169;86;20;1.0;5.0;2.0;9.0;1.0;4.0;4.0;;;;;;;1.0;;;;;;;394.0
Grave-G0786;9;;2743;1666;832;536;233;11.0;14.0;12.0;28.0;67.0;9.0;5.0;10.0;1.0;1.0;2.0;1.0;;4.0;;;;;;;1580.0
Grijpskerk-G0016;6;;1404;572;300;151;84;2.0;191.0;31.0;1.0;1.0;6.0;;;1.0;10.0;;;;;;;;;;;325.0
Groenlo-G0240;4;;3419;1399;403;310;135;4.0;10.0;4.0;5.0;9.0;5.0;4.0;;2.0;3.0;2.0;2.0;4.0;1.0;;;;;;;969.0
Groesbeek-G0241;56;;4723;4651;839;570;373;8.0;15.0;20.0;47.0;49.0;21.0;15.0;;1.0;5.0;11.0;2.0;4.0;1.0;;;;;;;2954.0
Groningen-G0014;324;;18329;49575;12735;11265;10238;163.0;4470.0;548.0;424.0;919.0;438.0;217.0;;214.0;256.0;60.0;23.0;;24.0;;;;;;;27444.0
Grootegast-G0015;27;;2891;1370;399;176;110;31.0;397.0;157.0;9.0;1.0;8.0;4.0;;2.0;6.0;1.0;;;1.0;;;;;;;900.0
Grubbenvorst-G0912;7;;2595;808;455;217;67;3.0;14.0;2.0;7.0;3.0;7.0;8.0;2.0;1.0;;;;;1.0;;;;;;;885.0
Gulpen-G0913;17;;2315;1608;379;222;117;7.0;13.0;15.0;18.0;12.0;12.0;10.0;3.0;1.0;1.0;;;;2.0;;;;;;;946.0
Haaksbergen-G0158;44;;8155;3475;1723;858;325;10.0;39.0;26.0;38.0;15.0;22.0;9.0;9.0;5.0;;3.0;3.0;18.0;2.0;;;;;;;2153.0
Haaren-G0788;7;;2026;546;324;196;104;1.0;6.0;1.0;3.0;6.0;7.0;3.0;;1.0;2.0;2.0;2.0;;1.0;;;;;;;650.0
Haarlem-G0392;285;;25901;32135;14262;9233;5505;239.0;600.0;541.0;860.0;128.0;634.0;116.0;133.0;105.0;46.0;43.0;29.0;242.0;20.0;;9.0;;;;;26164.0
Haarlemmerliede en Spaarnwoude-G0393;4;;1409;683;616;314;122;14.0;14.0;17.0;30.0;6.0;23.0;2.0;2.0;4.0;;;;2.0;;;;;;;;605.0
Haarlemmermeer-G0394;110;;20476;11689;13862;5461;1810;628.0;515.0;480.0;348.0;50.0;162.0;81.0;36.0;48.0;42.0;23.0;15.0;46.0;12.0;;2.0;;;;;13627.0
Haelen-G0914;8;;2138;844;401;214;97;3.0;10.0;9.0;11.0;;7.0;4.0;3.0;;;1.0;;;1.0;;;;;;;818.0
Halsteren-G0789;26;;2875;2498;1044;587;209;21.0;16.0;15.0;67.0;10.0;19.0;25.0;;3.0;4.0;8.0;1.0;;1.0;;;;;;;2275.0
Haps-G0790;7;;1226;376;110;73;27;;;;2.0;1.0;5.0;2.0;1.0;1.0;;1.0;;;;;;;;;;48.0
Hardenberg-G0160;40;;10053;5009;1374;690;291;57.0;3040.0;222.0;24.0;7.0;14.0;15.0;4.0;2.0;2.0;4.0;2.0;1.0;;;;;;;;2174.0
Harderwijk-G0243;60;;9380;3588;3256;1259;628;904.0;564.0;761.0;84.0;31.0;39.0;21.0;11.0;5.0;18.0;8.0;;;1.0;;;;;;;4158.0
Hardinxveld-Giessendam-G0523;15;;3067;2463;1004;508;126;1966.0;576.0;494.0;56.0;9.0;22.0;7.0;2.0;4.0;7.0;1.0;;;;;;;;;;1850.0
Haren-G0017;34;;3665;3571;3141;1402;439;27.0;526.0;80.0;29.0;7.0;41.0;13.0;;1.0;38.0;;4.0;;;;;;;;;1483.0
Harenkarspel-G0395;11;;2124;748;528;239;139;1.0;23.0;7.0;13.0;4.0;23.0;3.0;8.0;1.0;2.0;1.0;1.0;2.0;1.0;;;;;;;808.0
Harlingen-G0072;24;;2433;4581;1259;663;290;17.0;293.0;86.0;41.0;16.0;15.0;11.0;;3.0;5.0;9.0;2.0;;;;;;;;;1825.0
Harmelen-G0318;17;;2230;740;1047;356;156;106.0;25.0;51.0;21.0;;13.0;4.0;2.0;;1.0;;;;2.0;;;1.0;;;;928.0
Hasselt-G0161;11;;1578;940;324;170;75;212.0;486.0;304.0;3.0;3.0;10.0;1.0;1.0;;;;1.0;1.0;;;;;;;;512.0
Hattem-G0244;15;;2696;2326;818;453;152;78.0;804.0;270.0;14.0;3.0;20.0;4.0;6.0;;3.0;5.0;1.0;;1.0;;;;;;;843.0
Havelte-G0117;16;;727;1854;1073;241;109;2.0;15.0;16.0;10.0;2.0;16.0;2.0;;1.0;3.0;1.0;;;;;;;;;;506.0
Hazerswoude-G0524;20;;3441;1078;1157;593;245;212.0;46.0;190.0;33.0;12.0;16.0;9.0;5.0;;4.0;;1.0;;;;;;;;;1180.0
Hedel-G0245;5;;1091;583;331;152;50;202.0;37.0;11.0;8.0;6.0;7.0;2.0;;;;;;;;;;;;;;360.0
Heel en Panheel-G0915;8;;1139;541;284;152;56;2.0;1.0;1.0;8.0;1.0;5.0;;1.0;;1.0;1.0;1.0;;;;;;;;;1015.0
Heemskerk-G0396;48;;7647;5858;2783;1835;977;78.0;114.0;60.0;115.0;24.0;78.0;29.0;24.0;16.0;19.0;4.0;3.0;13.0;;;1.0;;;;;5079.0
Heemstede-G0397;44;;6337;3040;5565;1742;576;34.0;99.0;54.0;75.0;3.0;68.0;13.0;11.0;2.0;5.0;4.0;4.0;28.0;1.0;;1.0;;;;;2917.0
Heerde-G0246;23;;4621;3834;1326;505;136;419.0;345.0;733.0;24.0;4.0;20.0;9.0;1.0;1.0;5.0;3.0;3.0;;5.0;;;;;;;1603.0
