RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;SGP;Politieke Partij Radikalen (PPR);Reformatorische Politieke Federatie (RPF);Gereformeerd Politiek Verbond (GPV);Democratisch Socialisten '70;Evangelische Volkspartij;SP;Rooms Katholieke Partij Nederland;Rechtse Volkspartij;CP;Nederlandse Volks Unie (NVU);Leefbaar Nederland;Samen Overleven of Sterven;Realisten 81;Internationale Kommunistenbond;God Met Ons;Wereld Welzijns Bewustwording;Partij tot Likwidatie van Nederland;De Vrede Partij;Partij van Rijksgenoten;Kleine Partij;Nederlandse Evolutie Partij;@abs
Aalburg-G0738;22;;1927;909;686;361;19.0;23.0;1505.0;51;243.0;50.0;16.0;21.0;9.0;1.0;14.0;6.0;5.0;3.0;2.0;;1.0;;1.0;;;;;;845.0
Aalsmeer-G0358;113;;4382;2345;3507;1411;218.0;127.0;101.0;167;293.0;37.0;80.0;54.0;14.0;4.0;18.0;;;12.0;1.0;4.0;2.0;;;8.0;0.0;;3.0;2.0;1296.0
Aalten-G0197;63;;6321;1964;1086;726;77.0;24.0;39.0;199;228.0;69.0;27.0;125.0;11.0;10.0;17.0;2.0;4.0;2.0;1.0;2.0;2.0;0.0;0.0;;;;;;1249.0
Aardenburg-G0648;12;;956;498;538;219;27.0;14.0;8.0;26;2.0;2.0;3.0;2.0;2.0;7.0;14.0;;;3.0;;1.0;;;;;;;;;300.0
Aarle-Rixtel-G0739;11;;1563;625;418;340;40.0;11.0;3.0;56;;4.0;5.0;2.0;7.0;5.0;15.0;3.0;3.0;6.0;;;;;1.0;;;;;;451.0
Abcoude-G0305;24;;1574;723;1605;561;120.0;61.0;72.0;94;53.0;32.0;40.0;37.0;9.0;13.0;5.0;14.0;59.0;6.0;;2.0;;;;;0.0;;;;356.0
Achtkarspelen-G0059;72;;6487;5415;1105;888;132.0;168.0;209.0;198;841.0;534.0;33.0;190.0;13.0;7.0;28.0;1.0;9.0;4.0;;5.0;4.0;;;;;;;;1493.0
Adorp-G0001;3;;387;274;202;90;14.0;5.0;3.0;50;31.0;110.0;1.0;20.0;2.0;;7.0;;1.0;;;;;;;;;;;;69.0
Aduard-G0002;3;;533;520;272;154;34.0;18.0;4.0;31;28.0;174.0;13.0;32.0;4.0;;4.0;2.0;1.0;;;;1.0;;;;;;;;100.0
Akersloot-G0360;24;;1186;527;630;433;48.0;46.0;1.0;72;8.0;8.0;13.0;12.0;4.0;14.0;5.0;2.0;;4.0;3.0;1.0;1.0;;1.0;;;;;;275.0
Alblasserdam-G0482;62;;1983;4035;1190;1162;168.0;131.0;1065.0;114;368.0;90.0;39.0;67.0;10.0;4.0;22.0;;;9.0;2.0;;2.0;;;;;;;;1334.0
Alkemade-G0483;58;;3934;961;1606;668;158.0;39.0;15.0;207;29.0;5.0;32.0;25.0;17.0;43.0;15.0;;;11.0;3.0;;2.0;;;;;;;;906.0
Alkmaar-G0361;309;;10900;12729;8203;6246;1704.0;1615.0;60.0;1211;302.0;136.0;344.0;149.0;166.0;102.0;69.0;306.0;;40.0;16.0;18.0;6.0;;17.0;;;;;;7002.0
Almelo-G0141;138;;11035;14523;5093;3971;386.0;750.0;181.0;615;401.0;228.0;190.0;146.0;184.0;80.0;42.0;39.0;111.0;27.0;7.0;3.0;;;;;;;;;4745.0
Alphen aan den Rijn-G0484;195;;8905;6475;7123;4059;472.0;244.0;631.0;799;785.0;154.0;144.0;289.0;98.0;63.0;43.0;;;24.0;11.0;;5.0;;;;;;;;4563.0
Alphen en Riel-G0741;19;;2038;389;575;328;38.0;15.0;6.0;33;1.0;;11.0;;1.0;3.0;3.0;1.0;10.0;3.0;;;;;2.0;;;;;;366.0
Ambt Delden-G0142;4;;2473;352;444;176;23.0;3.0;1.0;31;9.0;4.0;4.0;6.0;;10.0;14.0;1.0;2.0;1.0;4.0;;;;;;;;;;191.0
Ameide-G0485;13;;680;506;203;138;8.0;5.0;210.0;19;52.0;16.0;2.0;2.0;;;7.0;;;;;;;;;;;;;;104.0
Ameland-G0060;19;;1194;621;492;270;72.0;33.0;12.0;62;46.0;38.0;13.0;15.0;1.0;;7.0;;2.0;3.0;;;;;;;;;;;
Amerongen-G0306;18;;1205;937;1034;283;38.0;13.0;367.0;62;107.0;18.0;29.0;45.0;4.0;;17.0;6.0;3.0;1.0;;;1.0;;;;1.0;;;;339.0
Amersfoort-G0307;339;;16066;13995;10529;6350;1232.0;901.0;792.0;1300;593.0;1573.0;358.0;421.0;141.0;128.0;68.0;59.0;147.0;33.0;20.0;17.0;5.0;;;;6.0;;;;8033.0
Ammerstol-G0486;8;;92;558;158;159;15.0;38.0;15.0;11;5.0;1.0;;4.0;;;;;;;;;;;;;;;;;83.0
Ammerzoden-G0198;15;;1382;427;307;193;24.0;9.0;55.0;22;12.0;3.0;3.0;8.0;15.0;15.0;1.0;2.0;2.0;1.0;1.0;;;1.0;1.0;;;;;;258.0
Amstelveen-G0362;375;;11263;9145;14908;6393;1460.0;772.0;149.0;1282;348.0;103.0;510.0;339.0;84.0;76.0;49.0;;;17.0;12.0;32.0;8.0;;;29.0;8.0;;9.0;3.0;5726.0
Amstenrade-G0884;21;;985;487;325;269;28.0;25.0;;35;2.0;1.0;2.0;2.0;5.0;26.0;3.0;3.0;1.0;25.0;;;;0.0;0.0;;;;;;278.0
Amsterdam-G0363;1988;;57754;155374;66514;47117;23344.0;43365.0;760.0;10882;1790.0;734.0;4884.0;1593.0;1082.0;641.0;508.0;4169.0;;376.0;176.0;284.0;170.0;;;441.0;159.0;103.0;;;101357.0
Andijk-G0364;19;;1300;692;504;348;67.0;119.0;50.0;57;195.0;9.0;7.0;39.0;1.0;8.0;19.0;7.0;;;;1.0;;;2.0;;;;;;381.0
Angerlo-G0199;16;;1163;746;310;335;31.0;15.0;5.0;43;6.0;2.0;2.0;6.0;3.0;1.0;8.0;;3.0;1.0;;1.0;1.0;0.0;0.0;;;;;;258.0
Anloo-G0105;16;;328;1895;1381;505;94.0;65.0;1.0;85;18.0;16.0;30.0;13.0;7.0;1.0;14.0;;;3.0;;;;;;;;;;;450.0
Anna Paulowna-G0366;59;;1884;1210;1736;680;52.0;89.0;31.0;105;39.0;64.0;48.0;12.0;2.0;10.0;17.0;12.0;;5.0;;3.0;;;0.0;;;;;;700.0
Apeldoorn-G0200;350;;25749;24375;18085;10418;1428.0;665.0;2148.0;1431;1509.0;488.0;534.0;657.0;112.0;105.0;244.0;90.0;183.0;65.0;;;10.0;;;;;;;;11516.0
Appeltern-G0201;16;;1665;431;252;209;29.0;5.0;4.0;38;5.0;2.0;7.0;1.0;7.0;4.0;5.0;;6.0;2.0;;;;0.0;3.0;;;;;;260.0
Appingedam-G0003;38;;1993;3685;860;671;89.0;183.0;23.0;124;103.0;123.0;16.0;85.0;29.0;4.0;9.0;1.0;15.0;3.0;2.0;2.0;2.0;;;;;;;;1164.0
Arcen en Velden-G0885;17;;2790;671;805;483;72.0;23.0;1.0;77;3.0;;13.0;1.0;14.0;40.0;8.0;;3.0;4.0;;2.0;1.0;0.0;0.0;;;;;;479.0
Arkel-G0487;12;;366;870;378;234;30.0;23.0;23.0;18;19.0;5.0;8.0;8.0;3.0;;2.0;;;1.0;1.0;;;;;;;;;;176.0
Arnemuiden-G0649;10;;508;391;268;134;11.0;8.0;558.0;29;265.0;14.0;7.0;16.0;1.0;;6.0;7.0;;;1.0;;;;;;;;;;359.0
Arnhem-G0202;341;;20182;28033;13303;9341;2586.0;1095.0;271.0;2273;558.0;342.0;434.0;403.0;576.0;178.0;83.0;131.0;410.0;70.0;;;25.0;;;;;;;;14848.0
Asperen-G0488;0;;471;381;329;184;8.0;6.0;170.0;22;68.0;9.0;5.0;16.0;1.0;4.0;1.0;;;1.0;1.0;;4.0;;;;;;;;147.0
Assen-G0106;114;;5589;11014;4592;2999;538.0;390.0;57.0;829;364.0;1443.0;175.0;308.0;47.0;22.0;32.0;24.0;;14.0;4.0;2.0;7.0;;;;;;;;3775.0
Asten-G0743;35;;5127;1008;927;858;159.0;40.0;3.0;130;1.0;7.0;13.0;16.0;11.0;32.0;21.0;5.0;4.0;9.0;1.0;;;;1.0;;;;;;916.0
Avereest-G0143;28;;3821;1906;1302;822;57.0;20.0;66.0;86;234.0;135.0;18.0;47.0;7.0;11.0;37.0;;10.0;5.0;6.0;1.0;;;;;;;;;894.0
Axel-G0650;41;;2367;1978;1031;599;49.0;31.0;107.0;73;58.0;595.0;12.0;36.0;10.0;37.0;19.0;10.0;;11.0;1.0;4.0;;;;;;;;;1206.0
Baarderadeel-G0061;9;;851;1079;680;349;83.0;39.0;11.0;84;15.0;14.0;11.0;11.0;10.0;;5.0;;1.0;1.0;1.0;;1.0;;;;;;;;346.0
Baarle-Nassau-G0744;15;;1981;503;551;245;47.0;12.0;1.0;45;14.0;1.0;9.0;7.0;9.0;10.0;8.0;1.0;8.0;2.0;5.0;1.0;;;1.0;;;;;;400.0
Baarn-G0308;84;;4158;3223;4304;1744;377.0;158.0;261.0;359;283.0;98.0;120.0;113.0;24.0;20.0;37.0;15.0;33.0;6.0;2.0;7.0;1.0;;;;2.0;;;;2422.0
Baexem-G0886;9;;891;144;166;159;12.0;7.0;1.0;13;1.0;;5.0;;;4.0;4.0;;1.0;;;;;0.0;0.0;;;;;;125.0
Baflo-G0004;3;;743;536;254;141;49.0;18.0;4.0;54;15.0;105.0;10.0;29.0;4.0;;3.0;;3.0;;;1.0;;;;;;;;;118.0
Bakel en Milheeze-G0745;19;;2910;525;425;338;61.0;25.0;;46;2.0;1.0;4.0;5.0;5.0;6.0;10.0;2.0;5.0;1.0;;;;;2.0;;;;;;643.0
Barendrecht-G0489;36;;3426;2109;2534;1290;115.0;64.0;769.0;139;315.0;100.0;70.0;113.0;19.0;4.0;11.0;;;18.0;2.0;;;;;;;;;;1218.0
Barneveld-G0203;78;;9021;2132;3886;1417;104.0;62.0;3703.0;211;1102.0;175.0;61.0;252.0;14.0;7.0;73.0;11.0;36.0;10.0;;;3.0;;;;;;;;1710.0
Barradeel-G0062;35;;2064;1067;473;278;42.0;35.0;17.0;37;102.0;42.0;8.0;26.0;4.0;1.0;3.0;1.0;5.0;;2.0;2.0;;;;;;;;;431.0
Barsingerhorn-G0369;21;;272;969;610;206;55.0;86.0;6.0;38;8.0;2.0;15.0;3.0;;2.0;4.0;1.0;;1.0;3.0;;;;1.0;;;;;;324.0
Batenburg-G0204;3;;217;69;29;33;9.0;1.0;1.0;15;;;;;3.0;1.0;6.0;;;;;;;0.0;0.0;;;;;;34.0
Bathmen-G0144;7;;813;758;1068;421;25.0;8.0;3.0;43;8.0;9.0;7.0;10.0;3.0;2.0;18.0;2.0;5.0;;1.0;;;;;;;;;;235.0
Bedum-G0005;21;;2415;1378;656;510;80.0;37.0;22.0;117;107.0;790.0;17.0;93.0;1.0;5.0;2.0;1.0;4.0;4.0;1.0;1.0;;;;;;;;;349.0
Beegden-G0887;6;;496;233;145;109;16.0;3.0;;29;1.0;;;;4.0;5.0;5.0;;;1.0;;;1.0;0.0;0.0;;;;;;142.0
Beek-G0888;55;;3210;1790;1422;1037;85.0;46.0;3.0;135;4.0;5.0;22.0;1.0;13.0;82.0;22.0;2.0;12.0;32.0;19.0;3.0;;15.0;1.0;;;;;;1194.0
Beek en Donk-G0746;20;;2621;1108;488;474;72.0;120.0;2.0;110;2.0;;23.0;6.0;11.0;14.0;12.0;4.0;8.0;6.0;4.0;;2.0;;1.0;;;;;;706.0
Beemster-G0370;42;;1385;1175;1540;494;122.0;93.0;10.0;81;17.0;4.0;37.0;18.0;4.0;17.0;8.0;3.0;;;;6.0;;;0.0;;;;;;465.0
Beers-G0747;5;;1313;202;148;143;30.0;;;32;1.0;1.0;2.0;;3.0;2.0;8.0;1.0;2.0;2.0;2.0;;;;0.0;;;;;;119.0
Beerta-G0006;19;;82;894;225;84;28.0;748.0;1.0;21;8.0;8.0;6.0;9.0;2.0;1.0;2.0;2.0;;1.0;;;2.0;;;;;;;;168.0
Beesel-G0889;58;;3398;1504;746;773;100.0;39.0;5.0;70;5.0;5.0;19.0;5.0;9.0;33.0;28.0;1.0;13.0;4.0;7.0;;;4.0;2.0;;;;;;1060.0
Beilen-G0107;32;;2496;3321;1461;721;91.0;39.0;30.0;156;61.0;188.0;20.0;86.0;5.0;9.0;44.0;2.0;;2.0;2.0;;;;;;;;;;803.0
Belfeld-G0890;18;;1463;563;343;328;33.0;11.0;1.0;36;2.0;;4.0;1.0;2.0;19.0;10.0;;4.0;2.0;1.0;;1.0;2.0;2.0;;;;;;440.0
Bellingwedde-G0007;34;;759;3565;890;449;63.0;530.0;8.0;39;116.0;17.0;7.0;19.0;11.0;5.0;24.0;5.0;13.0;5.0;1.0;;1.0;;;;;;;;600.0
Bemelen-G0891;0;;136;39;47;25;7.0;3.0;;4;2.0;;;;1.0;1.0;1.0;;;;3.0;;;0.0;0.0;;;;;;
Bemmel-G0206;50;;4883;1966;907;938;147.0;30.0;9.0;157;6.0;3.0;13.0;13.0;23.0;17.0;11.0;3.0;5.0;3.0;3.0;2.0;;1.0;1.0;;;;;;1187.0
Bennebroek-G0372;55;;1318;431;1337;350;72.0;22.0;15.0;113;32.0;15.0;31.0;20.0;3.0;5.0;4.0;;;1.0;2.0;4.0;;;;0.0;0.0;;1.0;0.0;494.0
Benschop-G0309;15;;890;159;268;172;10.0;4.0;284.0;18;78.0;6.0;2.0;14.0;2.0;3.0;4.0;;3.0;1.0;;3.0;1.0;;;;0.0;;;;153.0
Benthuizen-G0490;14;;373;286;387;202;9.0;6.0;369.0;26;56.0;9.0;11.0;4.0;3.0;;1.0;;;1.0;1.0;;1.0;;;;;;;;150.0
Berg en Terblijt-G0892;47;;1328;523;452;321;26.0;14.0;1.0;22;;2.0;9.0;6.0;2.0;16.0;7.0;2.0;;16.0;2.0;2.0;1.0;2.0;1.0;;;;;;237.0
Bergambacht-G0491;17;;735;868;687;323;31.0;19.0;498.0;32;78.0;13.0;15.0;18.0;1.0;;5.0;;;1.0;;;1.0;;;;;;;;316.0
Bergen-G0373;67;;2442;1791;3036;1189;328.0;133.0;9.0;252;56.0;3.0;69.0;27.0;11.0;15.0;15.0;51.0;;12.0;4.0;4.0;2.0;;3.0;;;;;;870.0
Bergen-G0893;55;;4516;1361;927;677;88.0;18.0;4.0;102;10.0;1.0;14.0;4.0;25.0;20.0;17.0;7.0;2.0;4.0;3.0;;2.0;2.0;0.0;;;;;;1085.0
Bergen op Zoom-G0748;174;;8679;7524;5319;2703;486.0;232.0;47.0;347;63.0;33.0;162.0;47.0;44.0;65.0;47.0;52.0;114.0;24.0;28.0;17.0;7.0;;6.0;;;;;;5220.0
Bergeyk-G0749;22;;3358;805;776;581;70.0;24.0;4.0;136;2.0;1.0;11.0;9.0;7.0;19.0;11.0;1.0;7.0;3.0;19.0;;;;0.0;;;;;;549.0
Bergh-G0207;79;;5628;2583;1268;986;136.0;46.0;21.0;138;17.0;7.0;31.0;16.0;13.0;65.0;66.0;1.0;17.0;6.0;6.0;;1.0;2.0;2.0;;;;;;1578.0
Bergharen-G0208;12;;946;207;155;169;24.0;4.0;4.0;24;1.0;1.0;3.0;3.0;4.0;3.0;4.0;;;;;;;1.0;0.0;;;;;;109.0
Berghem-G0750;16;;1340;921;285;373;42.0;13.0;3.0;28;2.0;2.0;7.0;2.0;155.0;8.0;12.0;1.0;5.0;2.0;;;1.0;;1.0;;;;;;476.0
Bergschenhoek-G0492;56;;1536;714;1046;384;43.0;28.0;92.0;58;87.0;100.0;20.0;32.0;4.0;9.0;10.0;;;2.0;2.0;;;;;;;;;;515.0
Berkel en Rodenrijs-G0493;48;;3591;984;2095;935;89.0;60.0;50.0;113;105.0;577.0;39.0;100.0;7.0;20.0;12.0;;;8.0;1.0;;2.0;;;;;;;;699.0
Berkel-Enschot-G0751;26;;2794;630;1363;686;105.0;32.0;4.0;115;13.0;7.0;18.0;6.0;6.0;11.0;8.0;1.0;10.0;4.0;4.0;;;;0.0;;;;;;535.0
Berkenwoude-G0494;2;;166;169;317;89;12.0;1.0;151.0;10;22.0;;6.0;2.0;;;5.0;;;2.0;;;;;;;;;;;47.0
Berlicum-G0752;29;;2361;1026;675;520;83.0;14.0;4.0;96;6.0;1.0;20.0;10.0;43.0;14.0;21.0;3.0;1.0;2.0;6.0;;;;2.0;;;;;;724.0
Bernisse-G0568;31;;1778;2139;1862;1173;90.0;100.0;129.0;105;55.0;23.0;38.0;51.0;21.0;3.0;13.0;;;7.0;1.0;;1.0;;;;;;;;925.0
Best-G0753;45;;4747;2693;1543;1330;146.0;79.0;7.0;214;42.0;19.0;38.0;22.0;21.0;16.0;20.0;5.0;22.0;17.0;3.0;;4.0;;3.0;;;;;;1761.0
Beuningen-G0209;51;;4164;2028;1154;1192;172.0;44.0;12.0;163;21.0;8.0;20.0;10.0;38.0;40.0;28.0;3.0;12.0;7.0;2.0;1.0;3.0;3.0;1.0;;;;;;1227.0
Beverwijk-G0375;176;;5885;7126;3536;2723;631.0;922.0;60.0;427;146.0;69.0;121.0;69.0;48.0;76.0;34.0;;;26.0;7.0;10.0;4.0;;;23.0;4.0;;15.0;17.0;3969.0
Bierum-G0008;13;;1230;758;329;219;26.0;34.0;7.0;53;26.0;23.0;4.0;42.0;1.0;2.0;5.0;;2.0;;;;1.0;;;;;;;;244.0
Bingelrade-G0894;6;;311;99;47;50;10.0;6.0;;11;;;3.0;1.0;3.0;7.0;7.0;1.0;;1.0;1.0;;;1.0;0.0;;;;;;55.0
Bladel en Netersel-G0754;25;;3034;799;626;532;132.0;43.0;8.0;110;2.0;3.0;14.0;10.0;7.0;14.0;16.0;5.0;4.0;9.0;7.0;;1.0;;2.0;;;;;;811.0
Blaricum-G0376;45;;1759;1067;2444;952;188.0;59.0;16.0;175;57.0;16.0;58.0;33.0;6.0;17.0;11.0;;;1.0;1.0;3.0;3.0;;;3.0;0.0;;2.0;0.0;835.0
Bleiswijk-G0495;18;;1691;665;1231;527;22.0;28.0;225.0;63;61.0;27.0;24.0;34.0;5.0;4.0;13.0;;;3.0;2.0;;2.0;;;;;;;;430.0
Bleskensgraaf en Hofwegen-G0496;20;;441;216;195;112;6.0;9.0;345.0;16;68.0;14.0;3.0;3.0;;1.0;3.0;;;;;;;;;;;;;;112.0
Bloemendaal-G0377;103;;3136;1427;5062;1247;270.0;99.0;43.0;258;83.0;54.0;157.0;57.0;7.0;49.0;17.0;;;3.0;7.0;1.0;2.0;;;10.0;2.0;;4.0;1.0;1546.0
Bocholtz-G0895;30;;1381;1029;261;388;29.0;56.0;1.0;53;3.0;;8.0;1.0;2.0;11.0;12.0;2.0;9.0;10.0;7.0;;;8.0;1.0;;;;;;445.0
Bodegraven-G0497;49;;3763;1627;1998;1087;125.0;38.0;501.0;177;294.0;102.0;40.0;99.0;20.0;15.0;21.0;;;8.0;1.0;;;;;;;;;;1166.0
Boekel-G0755;32;;3261;666;416;415;71.0;26.0;1.0;46;8.0;2.0;7.0;6.0;19.0;19.0;16.0;2.0;3.0;1.0;2.0;;;;0.0;;;;;;545.0
Bolsward-G0064;31;;2853;1651;582;615;67.0;38.0;20.0;166;85.0;35.0;18.0;44.0;7.0;6.0;1.0;2.0;5.0;;3.0;;1.0;;;;;;;;682.0
Borculo-G0211;46;;1778;2121;1511;751;70.0;32.0;6.0;95;28.0;18.0;22.0;15.0;4.0;2.0;19.0;;2.0;;;;;1.0;1.0;;;;;;561.0
Borger-G0108;48;;1717;3856;1371;707;97.0;117.0;10.0;143;87.0;66.0;25.0;78.0;6.0;3.0;18.0;3.0;;1.0;2.0;3.0;;;;;;;;;417.0
Born-G0897;51;;2367;1086;549;631;55.0;38.0;1.0;87;2.0;;7.0;;3.0;16.0;19.0;6.0;9.0;10.0;6.0;1.0;1.0;8.0;6.0;;;;;;726.0
Borne-G0147;34;;5705;3039;1516;1183;87.0;71.0;20.0;223;64.0;29.0;35.0;37.0;30.0;43.0;27.0;4.0;18.0;6.0;4.0;2.0;1.0;;;;;;;;830.0
Borsele-G0654;36;;4786;2120;1633;1101;103.0;48.0;1181.0;212;209.0;70.0;36.0;54.0;7.0;44.0;41.0;18.0;;8.0;4.0;1.0;1.0;;;;;;;;1412.0
Boskoop-G0499;51;;3009;1270;2029;927;154.0;58.0;335.0;177;187.0;24.0;25.0;78.0;8.0;13.0;13.0;;;6.0;4.0;;;;;;;;;;844.0
Boxmeer-G0756;34;;4313;1724;922;918;206.0;32.0;4.0;170;15.0;2.0;17.0;35.0;73.0;32.0;22.0;5.0;9.0;7.0;1.0;;;;3.0;;;;;;958.0
Boxtel-G0757;51;;5869;3397;1751;1566;235.0;73.0;7.0;268;9.0;16.0;40.0;42.0;473.0;38.0;38.0;4.0;20.0;12.0;21.0;4.0;3.0;;5.0;;;;;;2338.0
Brakel-G0212;26;;934;1020;328;245;25.0;12.0;952.0;21;105.0;25.0;7.0;11.0;6.0;1.0;15.0;;7.0;1.0;2.0;;;0.0;0.0;;;;;;455.0
Brandwijk-G0500;2;;271;110;95;50;4.0;;129.0;1;31.0;5.0;2.0;3.0;;;2.0;;;1.0;;;;;;;;;;;45.0
Breda-G0758;445;;22617;21408;12109;8783;1937.0;786.0;126.0;1441;155.0;71.0;334.0;155.0;105.0;248.0;145.0;77.0;272.0;54.0;142.0;13.0;31.0;;22.0;;;;;;15358.0
Brederwiede-G0194;26;;2812;2049;1031;624;72.0;44.0;73.0;72;143.0;527.0;11.0;48.0;3.0;5.0;18.0;1.0;5.0;1.0;;;;;;;;;;;566.0
Breukelen-G0311;54;;2100;1022;1834;757;82.0;45.0;327.0;162;154.0;41.0;41.0;38.0;7.0;6.0;13.0;7.0;19.0;3.0;1.0;2.0;2.0;;;;1.0;;;;715.0
Brielle-G0501;53;;1736;2741;2662;1429;150.0;83.0;63.0;133;70.0;21.0;76.0;40.0;17.0;5.0;30.0;;;16.0;2.0;;1.0;;;;;;;;1155.0
Broek in Waterland-G0380;18;;358;426;497;206;72.0;42.0;2.0;41;13.0;;13.0;6.0;3.0;;4.0;1.0;;4.0;1.0;1.0;;;1.0;;;;;;174.0
Broekhuizen-G0898;6;;691;129;118;97;33.0;3.0;2.0;9;;;3.0;1.0;;;4.0;;;;;;;1.0;0.0;;;;;;114.0
Brouwershaven-G0656;7;;404;890;580;256;19.0;18.0;66.0;25;32.0;70.0;12.0;14.0;1.0;2.0;1.0;3.0;;1.0;2.0;;;;;;;;;;193.0
Bruinisse-G0657;11;;529;510;398;163;19.0;11.0;383.0;4;45.0;14.0;9.0;15.0;1.0;;4.0;2.0;;1.0;;;;;;;;;;;157.0
Brummen-G0213;46;;2823;5157;2337;1546;144.0;93.0;49.0;174;80.0;21.0;50.0;87.0;7.0;10.0;41.0;;19.0;13.0;;;3.0;;;;;;;;1220.0
Brunssum-G0899;127;;5858;5460;1414;1637;217.0;323.0;6.0;354;37.0;64.0;46.0;23.0;92.0;99.0;31.0;12.0;42.0;123.0;3.0;8.0;10.0;22.0;4.0;;;;;;3046.0
Budel-G0759;45;;3443;1474;707;601;77.0;23.0;1.0;85;6.0;1.0;8.0;7.0;11.0;20.0;27.0;8.0;8.0;8.0;18.0;;1.0;;3.0;;;;;;1200.0
Bunde-G0900;12;;1280;610;590;375;42.0;25.0;;58;1.0;2.0;15.0;4.0;2.0;24.0;9.0;;11.0;6.0;1.0;;2.0;1.0;2.0;;;;;;367.0
Bunnik-G0312;21;;3199;1194;2186;1042;188.0;45.0;140.0;331;81.0;18.0;39.0;53.0;21.0;13.0;6.0;4.0;15.0;4.0;;;;;;;0.0;;;;653.0
Bunschoten-G0313;38;;3339;639;1248;506;42.0;24.0;335.0;49;1068.0;2650.0;23.0;32.0;10.0;3.0;10.0;5.0;8.0;3.0;2.0;8.0;2.0;;;;0.0;;;;551.0
Buren-G0214;37;;1169;1911;1470;565;63.0;27.0;137.0;91;56.0;5.0;11.0;7.0;7.0;1.0;19.0;3.0;16.0;3.0;2.0;3.0;;0.0;0.0;;;;;;635.0
Bussum-G0381;141;;6150;4244;7114;2704;706.0;335.0;236.0;426;222.0;152.0;270.0;89.0;34.0;108.0;40.0;;;18.0;21.0;20.0;2.0;;;19.0;7.0;;10.0;1.0;3270.0
Cadier en Keer-G0901;25;;1023;367;473;287;31.0;17.0;3.0;27;1.0;1.0;7.0;2.0;1.0;36.0;5.0;;4.0;4.0;;;;4.0;1.0;;;;;;282.0
Callantsoog-G0382;8;;312;466;640;193;30.0;42.0;3.0;17;7.0;4.0;15.0;2.0;1.0;;14.0;1.0;;;;;;;0.0;;;;;;19.0
Capelle aan den IJssel-G0502;194;;3867;8704;5973;4199;449.0;353.0;1724.0;327;342.0;526.0;192.0;126.0;87.0;14.0;35.0;;;20.0;12.0;;4.0;;;;;;;;4482.0
Castricum-G0383;82;;4296;2669;3764;2044;402.0;200.0;13.0;567;45.0;19.0;136.0;97.0;15.0;34.0;21.0;26.0;;4.0;3.0;3.0;1.0;;5.0;;;;;;1499.0
Chaam-G0760;21;;1258;348;377;216;21.0;8.0;;27;3.0;;1.0;7.0;4.0;9.0;10.0;;3.0;3.0;1.0;;1.0;;0.0;;;;;;101.0
Coevorden-G0109;25;;3114;3280;1134;721;97.0;41.0;12.0;77;85.0;30.0;30.0;24.0;15.0;18.0;18.0;3.0;;5.0;;4.0;;;;;;;;;919.0
Cothen-G0314;4;;761;180;234;125;18.0;4.0;30.0;18;7.0;1.0;4.0;4.0;;8.0;2.0;;;;;;;;;;0.0;;;;105.0
Cuijk en Sint Agatha-G0761;58;;3589;2148;1087;1313;191.0;49.0;4.0;167;9.0;3.0;29.0;16.0;81.0;32.0;17.0;6.0;20.0;8.0;9.0;;;;2.0;;;;;;1500.0
Culemborg-G0216;46;;3206;3463;2153;1253;272.0;178.0;196.0;357;102.0;32.0;59.0;45.0;35.0;18.0;20.0;26.0;92.0;4.0;3.0;3.0;;2.0;0.0;;;;;;1468.0
Dalen-G0110;11;;802;1372;1128;324;24.0;38.0;5.0;33;15.0;7.0;7.0;6.0;2.0;4.0;19.0;;;;;;;;;;;;;;174.0
Dalfsen-G0148;14;;4935;1161;1146;624;36.0;17.0;66.0;89;170.0;596.0;19.0;64.0;5.0;21.0;43.0;2.0;4.0;1.0;;2.0;1.0;;;;;;;;634.0
Dantumadeel-G0065;67;;4367;3263;938;763;107.0;79.0;845.0;124;643.0;259.0;22.0;115.0;12.0;4.0;19.0;2.0;9.0;1.0;1.0;6.0;1.0;;;;;;;;1224.0
De Bilt-G0310;100;;5410;4037;6957;2741;407.0;219.0;328.0;607;230.0;263.0;175.0;152.0;34.0;43.0;20.0;54.0;29.0;7.0;6.0;2.0;1.0;;;;2.0;;;;2033.0
De Lier-G0552;37;;2856;545;1256;501;24.0;31.0;47.0;35;66.0;105.0;25.0;41.0;3.0;4.0;12.0;;;3.0;1.0;;;;;;;;;;479.0
De Wijk-G0135;10;;736;886;954;289;37.0;28.0;4.0;29;12.0;26.0;10.0;11.0;4.0;;11.0;2.0;;;;;;;;;;;;;281.0
Delft-G0503;257;;12821;17186;9172;7687;2164.0;2160.0;702.0;1568;592.0;336.0;556.0;351.0;77.0;177.0;66.0;;;80.0;24.0;;10.0;;;;;;;;7822.0
Delfzijl-G0010;39;;2809;6643;1921;1539;230.0;447.0;19.0;267;299.0;268.0;59.0;197.0;49.0;7.0;28.0;8.0;42.0;17.0;8.0;1.0;8.0;;;;;;;;2782.0
Den Dungen-G0768;12;;1495;449;192;226;28.0;3.0;2.0;25;;1.0;8.0;;4.0;30.0;11.0;;2.0;2.0;4.0;;;;0.0;;;;;;258.0
