RegioNaam;@invalid;@blank;KVP;PvdA;ARP;Communistische Partij van Nederland;CHU;Partij van de Vrijheid;SGP;Overige partijen zonder zetels;Overige partijen met 1 of meer zetels;@abs
Groede-G0667;74;0;234;441;79;45;201;427;9;0;0;175.0
Groenlo-G0240;34;0;1936;284;20;13;46;51;0;0;0;162.0
Groesbeek-G0241;394;0;3899;0;146;0;169;86;18;0;0;358.0
Groningen-G0014;2298;0;5939;24261;10710;13552;6648;6635;0;210;0;9141.0
Gronsveld-G0911;69;0;1015;28;0;3;0;0;0;2;0;80.0
Groot-Ammers-G0520;16;0;7;130;346;5;26;140;179;0;0;109.0
Grootebroek-G0391;24;0;1826;177;12;66;24;21;7;2;0;102.0
Grootegast-G0015;92;0;12;779;2460;127;477;139;0;7;0;244.0
Grubbenvorst-G0912;15;0;1365;36;0;0;0;0;0;8;0;71.0
Gulpen-G0913;115;0;1480;52;0;36;0;0;0;15;0;93.0
Haaften-G0242;51;0;26;546;240;14;339;65;215;0;0;126.0
Haaksbergen-G0158;168;0;3526;1021;79;77;42;342;22;0;0;219.0
Haamstede-G1068;22;0;22;215;186;0;247;174;71;0;0;58.0
Haaren-G0788;20;0;1166;23;5;0;1;2;0;22;0;43.0
Haarlem-G0392;2339;0;23396;29198;6478;13499;3428;4895;332;739;0;8648.0
Haarlemmerliede en Spaarnwoude-G0393;38;0;967;220;178;173;99;124;17;7;0;103.0
Haarlemmermeer-G0394;432;0;4008;3652;3871;1754;2826;507;240;154;0;1071.0
Haarzuilens-G1069;1;0;209;2;8;1;17;0;3;0;0;4.0
Haastrecht-G0521;23;0;492;289;225;21;55;112;57;0;0;126.0
Haelen-G0914;34;0;1292;36;0;0;0;0;0;10;0;96.0
Hagestein-G0522;10;0;140;36;57;1;93;42;64;0;0;40.0
Halsteren-G0789;268;0;2855;226;105;46;77;43;16;13;0;260.0
Haps-G0790;18;0;792;5;3;0;0;1;0;0;0;43.0
Hardenberg-G0160;188;0;979;1813;3462;115;2017;540;23;0;0;629.0
Harderwijk-G0243;168;0;261;770;1091;119;2548;114;394;0;0;501.0
Hardinxveld-G1070;120;0;14;1092;709;263;117;271;1167;0;0;566.0
Haren-G0017;175;0;138;1597;1263;504;1050;1319;0;64;0;702.0
Harenkarspel-G0395;17;0;1130;343;110;116;3;47;6;0;0;103.0
Harlingen-G0072;103;0;769;2027;802;853;1024;179;4;0;0;430.0
Harmelen-G0318;10;0;584;75;252;3;311;17;36;0;0;54.0
Haskerland-G0073;242;0;560;1912;759;394;1316;208;25;0;0;566.0
Hasselt-G0161;22;0;70;213;518;19;219;43;44;0;0;152.0
Hattem-G0244;82;0;63;1008;578;293;654;245;20;0;0;191.0
Havelte-G0117;97;0;21;1164;98;34;157;570;0;0;0;203.0
Hazerswoude-G0524;27;0;968;69;765;21;472;57;121;0;0;156.0
Hedel-G0245;43;0;330;0;206;0;95;29;92;0;0;58.0
Heel en Panheel-G0915;15;0;1240;23;0;0;0;0;0;7;0;108.0
Heemskerk-G0396;39;0;1954;243;20;164;110;23;8;2;0;130.0
Heemstede-G0397;276;0;3895;2524;1282;626;746;2360;49;125;0;1615.0
Heenvliet-G0525;20;0;0;153;78;200;53;140;11;0;0;73.0
Heer-G0916;294;0;2026;605;0;143;0;0;0;46;0;218.0
Heerde-G0246;170;0;105;1709;1138;68;1734;538;64;0;0;365.0
Heerenveen-G0074;292;0;421;4828;1560;3428;987;905;16;0;0;1500.0
Heerewaarden-G0247;321;0;14;0;5;0;28;144;3;0;0;69.0
Heerhugowaard-G0398;28;0;1794;448;188;114;50;76;3;3;0;129.0
Heerjansdam-G0526;16;0;0;197;181;42;191;40;44;0;0;49.0
Heerlen-G0917;1358;0;16273;3119;0;3261;0;0;0;1343;0;1814.0
Heesch-G0791;48;0;1549;23;15;6;19;5;0;11;0;86.0
Heeswijk-G1072;9;0;896;4;2;0;0;0;0;25;0;36.0
Heeze-G0793;35;0;1644;46;19;6;55;11;0;8;0;95.0
Hei- en Boeicop-G0527;3;0;2;32;147;2;16;31;167;0;0;37.0
Heiloo-G0399;98;0;2121;1574;210;420;128;312;9;3;0;427.0
Heinenoord-G0528;21;0;11;278;303;15;242;145;125;0;0;89.0
Heinkenszand-G0672;14;0;555;85;137;3;266;58;41;0;0;115.0
Heino-G0162;17;0;800;260;110;5;451;34;1;0;0;66.0
Hekelingen-G1074;11;0;0;275;67;30;39;120;12;0;0;52.0
Hekendorp-G1075;16;0;100;34;85;1;68;34;34;0;0;30.0
Helden-G0918;59;0;3586;39;0;4;0;0;0;10;0;208.0
Hellendoorn-G0163;187;0;1904;1572;1772;196;2863;185;81;0;0;505.0
Hellevoetsluis-G0530;29;0;16;290;74;25;43;79;8;0;0;
Helmond-G0794;946;0;10340;2171;292;1141;135;350;0;52;0;1330.0
Helvoirt-G0795;22;0;1162;17;7;4;40;5;2;16;0;100.0
Hemelumer Oldeferd-G0075;27;0;100;615;575;27;1362;37;25;0;0;224.0
Hemmen-G1076;0;0;2;12;12;2;67;6;23;0;0;9.0
Hendrik-Ido-Ambacht-G0531;50;0;9;716;696;48;464;152;625;0;0;194.0
