RegioNaam;@invalid;@blank;KVP;PvdA;ARP;CHU;VVD;Communistische Partij van Nederland;SGP;Overig;Lijst Welter;@abs
Voerendaal-G0986;0;;2043.0;98;6.0;2.0;14.0;29.0;;11.0;39.0;141.0
Vogelwaarde-G0719;0;;1875.0;45;29.0;42.0;7.0;2.0;7.0;9.0;19.0;196.0
Vollenhove-G0185;0;;242.0;493;912.0;863.0;108.0;41.0;52.0;14.0;4.0;
Voorburg-G0624;0;;5141.0;4093;3295.0;1291.0;3201.0;481.0;83.0;567.0;632.0;2023.0
Voorhout-G0625;0;;1373.0;42;57.0;172.0;7.0;2.0;2.0;1.0;78.0;48.0
Voorschoten-G0626;0;;1393.0;732;833.0;790.0;344.0;45.0;95.0;63.0;70.0;375.0
Voorst-G0285;0;;2271.0;2151;500.0;1328.0;1606.0;635.0;127.0;50.0;29.0;713.0
Vorden-G0286;0;;453.0;743;532.0;681.0;439.0;41.0;35.0;14.0;18.0;177.0
Vreeland-G1213;0;;45.0;105;122.0;120.0;71.0;15.0;44.0;5.0;8.0;40.0
Vreeswijk-G0348;0;;615.0;347;224.0;244.0;22.0;11.0;69.0;18.0;15.0;214.0
Vries-G0133;0;;30.0;1317;310.0;156.0;815.0;321.0;15.0;131.0;13.0;409.0
Vriezenveen-G0186;0;;330.0;963;625.0;2343.0;193.0;132.0;432.0;17.0;5.0;595.0
Vrouwenpolder-G1214;0;;4.0;18;373.0;116.0;9.0;4.0;48.0;5.0;5.0;10.0
Vught-G0865;0;;6167.0;692;162.0;104.0;247.0;80.0;9.0;53.0;237.0;460.0
Vuren-G0287;0;;8.0;409;242.0;223.0;73.0;8.0;32.0;1.0;;84.0
Waalre-G0866;0;;2376.0;277;39.0;36.0;103.0;44.0;3.0;24.0;40.0;266.0
Waalwijk-G0867;0;;4895.0;411;248.0;506.0;76.0;49.0;43.0;46.0;106.0;360.0
Waarde-G0721;0;;2.0;48;46.0;137.0;33.0;3.0;233.0;24.0;1.0;72.0
Waardenburg-G0288;0;;11.0;314;46.0;207.0;42.0;3.0;243.0;6.0;3.0;94.0
Waarder-G1217;0;;23.0;26;204.0;112.0;6.0;1.0;97.0;;2.0;45.0
Waddinxveen-G0627;0;;564.0;978;889.0;710.0;245.0;81.0;725.0;22.0;12.0;198.0
Wadenoijen-G1218;0;;162.0;470;94.0;226.0;182.0;8.0;101.0;10.0;14.0;90.0
Wageningen-G0289;0;;1462.0;2960;1282.0;1479.0;951.0;593.0;381.0;141.0;145.0;695.0
Wamel-G0290;0;;3000.0;137;25.0;150.0;12.0;19.0;8.0;9.0;37.0;174.0
Wanneperveen-G0187;0;;6.0;228;142.0;415.0;75.0;8.0;17.0;9.0;;70.0
Wanroij-G0868;0;;1400.0;6;1.0;;1.0;;;1.0;4.0;48.0
Wanssum-G0987;0;;504.0;5;1.0;;1.0;;;;1.0;21.0
Warder-G0455;0;;8.0;122;10.0;8.0;103.0;38.0;;10.0;;26.0
Warffum-G0049;0;;9.0;639;426.0;88.0;206.0;19.0;2.0;24.0;;99.0
Warmenhuizen-G0456;0;;815.0;165;91.0;3.0;58.0;103.0;1.0;1.0;4.0;39.0
Warmond-G0628;0;;1121.0;215;98.0;153.0;105.0;9.0;17.0;14.0;35.0;5.0
Warnsveld-G0291;0;;308.0;805;411.0;538.0;405.0;54.0;6.0;21.0;6.0;710.0
Waspik-G0869;0;;1312.0;33;93.0;135.0;9.0;8.0;34.0;4.0;18.0;118.0
Wassenaar-G0629;0;;3499.0;1682;2110.0;1228.0;2398.0;170.0;107.0;319.0;689.0;1446.0
Wateringen-G0630;0;;1987.0;108;207.0;359.0;43.0;11.0;9.0;6.0;78.0;73.0
Waterlandkerkje-G0722;0;;104.0;55;25.0;43.0;29.0;2.0;27.0;9.0;2.0;21.0
Wedde-G1220;0;;17.0;913;174.0;220.0;303.0;359.0;5.0;44.0;5.0;149.0
Weerselo-G0188;0;;3583.0;59;19.0;72.0;25.0;14.0;13.0;3.0;6.0;109.0
Weert-G0988;0;;8187.0;322;61.0;39.0;43.0;66.0;5.0;29.0;274.0;442.0
Weesp-G0457;0;;838.0;1400;638.0;714.0;168.0;355.0;53.0;54.0;44.0;298.0
Weesperkarspel-G1221;0;;569.0;296;313.0;454.0;41.0;88.0;45.0;25.0;19.0;153.0
Wehl-G0292;0;;1582.0;63;15.0;57.0;8.0;6.0;1.0;2.0;17.0;130.0
