RegioNaam;@invalid;@blank;PvdA;VVD;CDA;KVP;Politieke Partij Radikalen (PPR);CHU;ARP;Communistische Partij van Nederland;BoerenPartij;SGP;PvdA/PPR/D'66;Gereformeerd Politiek Verbond (GPV);Democratisch Socialisten '70;Pacifistisch-Socialistische Partij (PSP);D66;FNP;SGP/NEV;Rooms Katholieke Partij Nederland;Lijst Meijer;Vrouw;Nieuwe Roomse Partij;Anti-Woningnood Aktie;@abs
Kloosterburen-G0021;0;0;267;157;532;0;43;0;0;9;5;0;0;19;8;13;4;0;0;0;4;0;0;0;168
Klundert-G0804;16;0;465;377;1590;0;63;0;0;10;94;0;0;0;12;7;7;0;151;0;0;0;0;0;992
Kockengen-G0324;10;0;0;196;0;281;0;191;206;7;73;205;190;34;7;13;0;0;0;16;0;0;0;2;246
Kollumerland en Nieuwkruisland-G0079;35;0;989;496;3739;0;73;0;0;61;126;0;0;220;25;32;6;159;151;0;0;0;0;0;1339
Kortgene-G0682;9;0;786;400;0;12;46;321;165;13;25;123;0;21;56;5;15;0;0;0;0;0;0;0;552
Koudekerk aan den Rijn-G0540;23;0;353;505;0;187;81;307;298;37;43;47;0;25;27;6;25;0;0;3;0;0;0;0;535
Krimpen aan de Lek-G0541;13;0;1384;596;0;43;98;137;302;45;36;238;0;25;41;31;80;0;0;3;0;0;0;0;789
Krimpen aan den IJssel-G0542;50;0;4045;2668;0;372;524;697;663;228;88;1420;0;219;190;99;209;0;0;1;0;0;0;0;3188
Landsmeer-G0415;25;0;1679;1107;574;0;372;0;0;479;74;0;0;24;81;100;84;0;17;12;0;0;0;0;866
Langbroek-G0325;15;0;0;208;0;122;0;199;71;8;29;164;191;22;24;6;0;0;0;5;0;0;0;0;210
Langedijk-G0416;43;0;1281;1013;2142;0;270;0;0;408;115;0;0;121;82;67;44;0;24;0;0;0;0;0;1425
Langerak-G0543;10;0;148;63;0;4;16;34;178;2;27;133;0;70;5;2;10;0;0;0;0;0;0;0;165
Laren-G0417;61;0;1498;2969;1674;0;603;0;0;133;159;0;0;58;204;145;93;0;32;200;0;0;0;0;1983
Leek-G0022;36;0;2761;1159;2113;0;269;0;0;144;305;0;0;567;84;76;91;0;0;0;22;0;0;0;1668
Leende-G0805;16;0;154;393;1149;0;58;0;0;7;66;0;0;7;27;10;17;0;0;0;0;0;0;0;392
Leens-G0023;10;0;622;306;601;0;38;0;0;55;17;0;0;340;17;10;11;0;0;0;7;0;0;0;347
Leerbroek-G0544;9;0;51;46;0;2;10;97;105;3;39;211;0;17;3;1;2;0;0;0;0;0;0;0;116
Leerdam-G0545;65;0;2631;977;0;191;196;777;818;112;186;717;0;254;51;35;33;0;0;0;0;0;0;0;1908
Leersum-G0326;16;0;0;1094;0;71;0;480;263;11;109;276;811;81;60;37;0;0;0;3;0;0;0;1;725
Leeuwarden-G0080;219;0;19525;5984;12001;0;1588;0;0;1140;324;0;0;928;583;589;239;3595;332;0;0;0;0;0;12090
Leeuwarderadeel-G0081;24;0;1528;442;1185;0;76;0;0;59;30;0;0;51;28;29;24;476;21;0;0;0;0;0;658
Leiden-G0546;447;0;19206;10265;0;5008;3830;3063;2265;2422;895;544;0;514;1233;1310;886;0;0;123;0;0;0;0;19252
Leiderdorp-G0547;27;0;1982;3235;0;768;599;601;948;90;105;115;0;129;330;137;223;0;0;14;0;0;0;0;2195
Leidschendam-G0548;91;0;3087;4786;0;3248;1040;816;668;153;318;84;0;169;396;168;237;0;0;9;0;0;0;0;3722
