RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Vrijzinnig-Democratische Bond;Liberale Staatspartij;Nationaal-Socialistische Beweging;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij;Christelijk-Democratische Unie;Revolutionair Socialistische Arbeiderspartij;Overige partij(en) met zetel(s);Overige partij(en) zonder zetel(s);@abs
Ameland-G0060;7;11;264.0;115.0;98.0;195.0;332.0;17.0;4.0;;1.0;12.0;2.0;;;126.0
Amerongen-G0306;24;29;23.0;257.0;318.0;418.0;37.0;80.0;52.0;1.0;190.0;5.0;;;;158.0
Amersfoort-G0307;392;643;5503.0;6045.0;2947.0;2794.0;1421.0;1448.0;790.0;349.0;540.0;465.0;132.0;;;2201.0
Ammerstol-G0486;4;11;2.0;345.0;25.0;7.0;99.0;34.0;8.0;6.0;21.0;4.0;2.0;;;44.0
Ammerzoden-G0198;9;15;941.0;26.0;173.0;133.0;1.0;5.0;2.0;;38.0;;;;1.0;109.0
Amstenrade-G0884;19;31;624.0;66.0;11.0;20.0;;4.0;98.0;;;;;2.0;;37.0
Amsterdam-G0363;21899;3149;66113.0;127164.0;40265.0;24982.0;25316.0;30566.0;24670.0;54246.0;931.0;9576.0;8157.0;1194.0;;27172.0
Andel-G0742;7;14;3.0;23.0;332.0;;;14.0;6.0;;9.0;;;110.0;;69.0
Andijk-G0364;10;33;259.0;348.0;707.0;19.0;282.0;81.0;12.0;109.0;30.0;49.0;41.0;1.0;;128.0
Angerlo-G0199;15;6;648.0;55.0;33.0;337.0;34.0;93.0;38.0;;10.0;;;;25.0;72.0
Ankeveen-G1014;1;10;162.0;30.0;31.0;105.0;8.0;7.0;5.0;15.0;2.0;;;1.0;;21.0
Anloo-G0105;19;92;15.0;924.0;80.0;43.0;318.0;354.0;742.0;25.0;;37.0;5.0;;;230.0
Anna Paulowna-G0366;31;58;711.0;807.0;228.0;136.0;563.0;52.0;51.0;85.0;11.0;92.0;8.0;97.0;;197.0
Apeldoorn-G0200;573;1252;3717.0;7713.0;4584.0;10038.0;2716.0;1923.0;1251.0;332.0;478.0;694.0;80.0;;;2769.0
Appeltern-G0201;13;16;1108.0;7.0;4.0;104.0;6.0;1.0;27.0;1.0;;;;;263.0;103.0
Appingedam-G0003;35;73;75.0;625.0;659.0;550.0;489.0;200.0;79.0;355.0;;384.0;;2.0;18.0;319.0
Arcen en Velden-G0885;12;23;1396.0;13.0;6.0;1.0;;8.0;60.0;;;;;23.0;;81.0
Arkel-G0487;3;28;10.0;180.0;92.0;16.0;20.0;273.0;13.0;5.0;9.0;2.0;2.0;6.0;;36.0
Arnemuiden-G0649;26;22;3.0;104.0;263.0;269.0;44.0;44.0;39.0;;265.0;;;9.0;;167.0
Arnhem-G0202;836;2286;13076.0;13333.0;4790.0;3200.0;2685.0;3117.0;2093.0;1039.0;206.0;287.0;482.0;;;3265.0
Asperen-G0488;11;24;;72.0;260.0;91.0;28.0;84.0;55.0;8.0;156.0;;1.0;73.0;;64.0
Assen-G0106;133;203;312.0;2554.0;1724.0;1120.0;2139.0;486.0;399.0;656.0;;64.0;32.0;;;1016.0
Assendelft-G0367;41;36;1063.0;695.0;83.0;25.0;476.0;40.0;16.0;296.0;24.0;20.0;14.0;3.0;;129.0
Asten-G0743;36;28;2560.0;32.0;6.0;18.0;;26.0;6.0;;;;;14.0;;2898.0
Avenhorn-G0368;5;5;276.0;78.0;4.0;7.0;216.0;54.0;27.0;2.0;;5.0;11.0;;;41.0
Avereest-G0143;115;72;433.0;645.0;1031.0;1584.0;194.0;419.0;133.0;9.0;32.0;57.0;6.0;;;518.0
Axel-G0650;55;60;460.0;419.0;952.0;654.0;150.0;171.0;61.0;;152.0;;;33.0;;264.0
Baarderadeel-G0061;13;37;100.0;652.0;401.0;271.0;684.0;179.0;47.0;20.0;;77.0;1.0;;178.0;248.0
