RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP;PvdA/PPR;Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Boeren Partij;Reformatorische Politieke Federatie (RPF);Fryske Nasjonale Partij;Democratisch Socialisten '70;SGP/RPF;Conservatieve Volkspartij;Lijst de Boer;Gronneger Bond;Internationale Kommunistenbond;Christen Democraten Unie;Lijst Wartena;Lijst Hofman;@abs
Franekeradeel-G0070;6;6;991;697;256;57;0.0;0;3;22;19;15;0;0;168;0;24;0.0;0;0;0;0;2;0;359
Gaasterland-G0071;4;14;2616;655;326;86;0.0;0;16;34;30;19;0;0;300;0;177;0.0;0;0;0;0;1;0;673
Gasselte-G0115;19;5;399;1369;486;110;0.0;0;98;21;13;8;0;5;0;0;0;0.0;4;0;0;0;0;0;345
Geertruidenberg-G0779;29;11;1268;1181;339;121;13.0;0;22;156;23;5;23;0;0;0;0;3.0;0;0;0;9;0;0;1113
Geervliet-G0509;3;2;255;675;318;81;40.0;0;11;13;12;2;1;2;0;0;0;0.0;0;0;0;0;0;0;258
Geffen-G0780;15;12;1273;507;191;54;1.0;0;6;24;9;1;31;0;0;0;0;1.0;0;0;0;2;0;0;756
Geldermalsen-G0236;34;22;3567;3954;2129;470;887.0;0;33;123;57;43;65;39;0;0;0;2.0;0;0;0;0;0;0;2027
Geldrop-G0781;26;29;5662;3321;2033;724;8.0;0;39;401;100;31;54;0;0;0;0;4.0;0;0;7;6;0;0;5097
Geleen-G0906;109;102;8365;6684;2238;652;0.0;0;115;360;206;0;0;0;0;0;0;19.0;0;0;0;0;0;0;6037
Gemert-G0782;40;30;4498;2108;647;184;;0;51;120;62;8;69;0;0;0;0;6.0;0;0;0;4;0;0;2786
Gendringen-G0237;31;14;6696;2166;741;194;15.0;0;38;145;84;4;93;17;0;0;0;4.0;0;0;0;0;0;0;2037
Gendt-G0238;8;6;1964;1035;305;125;4.0;0;4;42;22;2;18;1;0;0;0;2.0;0;0;0;0;0;0;942
Genemuiden-G0154;9;1;1047;605;285;57;1030.0;0;5;15;1;47;10;259;0;0;0;0.0;0;0;0;0;0;0;529
